hardware,embedding_index,horizon,pomdp_build_time,probability,solver_time,algorithm_index
cambridge,0,4,0.002456,0.745502,0.000000,90
cambridge,0,5,0.002456,0.749661,0.000000,91
cambridge,1,2,0.002440,0.555000,0.000000,92
cambridge,1,3,0.002440,0.573125,0.000000,93
cambridge,1,4,0.002440,0.581169,0.000000,94
cambridge,1,5,0.002440,0.589951,0.000000,95
casablanca,0,2,0.003459,0.666619,0.000000,96
casablanca,0,3,0.003459,0.745973,0.000000,97
casablanca,0,4,0.003459,0.746082,0.000000,98
casablanca,0,5,0.003459,0.749614,0.000000,99
casablanca,1,2,0.003538,0.666414,0.000000,100
casablanca,1,3,0.003538,0.740730,0.000000,101
casablanca,1,4,0.003538,0.741249,0.000000,102
casablanca,1,5,0.003538,0.749020,0.000000,103
cusco,0,2,0.003580,0.666655,0.000000,104
cusco,0,3,0.003580,0.748067,0.000000,105
cusco,0,4,0.003580,0.748095,0.000000,106
cusco,0,5,0.003580,0.749910,0.000000,107
cusco,1,2,0.003559,0.500976,0.000000,108
cusco,1,3,0.003559,0.500977,0.000000,109
cusco,1,4,0.003559,0.501464,0.000000,110
cusco,1,5,0.003559,0.501465,0.000000,111
essex,0,2,0.002523,0.666444,0.000000,112
essex,0,3,0.002523,0.741235,0.000000,113
essex,0,4,0.002523,0.741701,0.000000,114
essex,0,5,0.002523,0.749040,0.000000,115
essex,1,2,0.002469,0.665891,0.000000,116
essex,1,3,0.002469,0.732989,0.000000,117
essex,1,4,0.002469,0.734462,0.000000,118
essex,1,5,0.002469,0.747108,0.000000,119
fez,0,2,0.003573,0.666666,0.000000,120
fez,0,3,0.003573,0.749579,0.000000,121
fez,0,4,0.003573,0.749580,0.000000,122
fez,0,5,0.003573,0.749945,0.000000,123
fez,1,2,0.003606,0.663560,0.000000,124
fez,1,3,0.003606,0.714001,0.000000,125
fez,1,4,0.003606,0.718786,0.000000,126
fez,1,5,0.003606,0.739463,0.000000,127
geneva,0,2,0.003462,0.660694,0.000000,128
geneva,0,3,0.003462,0.698630,0.000000,129
geneva,0,4,0.003462,0.706559,0.000000,130
geneva,0,5,0.003462,0.730404,0.000000,131
geneva,1,2,0.003484,0.666623,0.000000,132
geneva,1,3,0.003484,0.746190,0.000000,133
geneva,1,4,0.003484,0.746289,0.000000,134
geneva,1,5,0.003484,0.749678,0.000000,135
guadalupe,0,2,0.003481,0.665746,0.000000,136
guadalupe,0,3,0.003481,0.731471,0.000000,137
guadalupe,0,4,0.003481,0.733170,0.000000,138
guadalupe,0,5,0.003481,0.746742,0.000000,139
guadalupe,1,2,0.003576,0.666641,0.000000,140
guadalupe,1,3,0.003576,0.747177,0.000000,141
guadalupe,1,4,0.003576,0.747234,0.000000,142
guadalupe,1,5,0.003576,0.749851,0.000000,143
hanoi,0,2,0.003476,0.666660,0.000000,144
hanoi,0,3,0.003476,0.748549,0.000000,145
hanoi,0,4,0.003476,0.748564,0.000000,146
hanoi,0,5,0.003476,0.749931,0.000000,147
hanoi,1,2,0.003490,0.664789,0.000000,148
hanoi,1,3,0.003490,0.722699,0.000000,149
hanoi,1,4,0.003490,0.725850,0.000000,150
hanoi,1,5,0.003490,0.743550,0.000000,151
jakarta,0,2,0.003497,0.666608,0.000000,152
jakarta,0,3,0.003497,0.745680,0.000000,153
jakarta,0,4,0.003497,0.745808,0.000000,154
jakarta,0,5,0.003497,0.749728,0.000000,155
jakarta,1,2,0.003536,0.665900,0.000000,156
jakarta,1,3,0.003536,0.733253,0.000000,157
jakarta,1,4,0.003536,0.734691,0.000000,158
jakarta,1,5,0.003536,0.747300,0.000000,159
johannesburg,0,2,0.002430,0.666596,0.000000,160
johannesburg,0,3,0.002430,0.745086,0.000000,161
johannesburg,0,4,0.002430,0.745245,0.000000,162
johannesburg,0,5,0.002430,0.749518,0.000000,163
johannesburg,1,2,0.002440,0.657122,0.000000,164
johannesburg,1,3,0.002440,0.683932,0.000000,165
johannesburg,1,4,0.002440,0.695004,0.000000,166
johannesburg,1,5,0.002440,0.719783,0.000000,167
kawasaki,0,2,0.003520,0.666664,0.000000,168
kawasaki,0,3,0.003520,0.749054,0.000000,169
kawasaki,0,4,0.003520,0.749061,0.000000,170
kawasaki,0,5,0.003520,0.749912,0.000000,171
kawasaki,1,2,0.003591,0.586304,0.000000,172
kawasaki,1,3,0.003591,0.606014,0.000000,173
kawasaki,1,4,0.003591,0.624313,0.000000,174
kawasaki,1,5,0.003591,0.635681,0.000000,175
kolkata,0,2,0.003456,0.666143,0.000000,176
kolkata,0,3,0.003456,0.735974,0.000000,177
kolkata,0,4,0.003456,0.737031,0.000000,178
kolkata,0,5,0.003456,0.747729,0.000000,179
kolkata,1,2,0.003432,0.666661,0.000000,180
kolkata,1,3,0.003432,0.748717,0.000000,181
kolkata,1,4,0.003432,0.748730,0.000000,182
kolkata,1,5,0.003432,0.749948,0.000000,183
kyiv,0,2,0.003583,0.666666,0.000000,184
kyiv,0,3,0.003583,0.749510,0.000000,185
kyiv,0,4,0.003583,0.749511,0.000000,186
kyiv,0,5,0.003583,0.749937,0.000000,187
kyiv,1,2,0.003568,0.501587,0.000000,188
kyiv,1,3,0.003568,0.502373,0.000000,189
kyiv,1,4,0.003568,0.502380,0.000000,190
kyiv,1,5,0.003568,0.502966,0.000000,191
kyoto,0,2,0.003510,0.666663,0.000000,192
kyoto,0,3,0.003510,0.748874,0.000000,193
kyoto,0,4,0.003510,0.748883,0.000000,194
kyoto,0,5,0.003510,0.749953,0.000000,195
kyoto,1,2,0.003519,0.539750,0.000000,196
kyoto,1,3,0.003519,0.554768,0.000000,197
kyoto,1,4,0.003519,0.559123,0.000000,198
kyoto,1,5,0.003519,0.567888,0.000000,199
lagos,0,2,0.003655,0.518100,0.000000,200
lagos,0,3,0.003655,0.526156,0.000000,201
lagos,0,4,0.003655,0.527103,0.000000,202
lagos,0,5,0.003655,0.532638,0.000000,203
lagos,1,2,0.003422,0.666603,0.000000,204
lagos,1,3,0.003422,0.745480,0.000000,205
lagos,1,4,0.003422,0.745620,0.000000,206
lagos,1,5,0.003422,0.749708,0.000000,207
lima,0,2,0.003466,0.666603,0.000000,208
lima,0,3,0.003466,0.745537,0.000000,209
lima,0,4,0.003466,0.745674,0.000000,210
lima,0,5,0.003466,0.749739,0.000000,211
lima,1,2,0.003506,0.665841,0.000000,212
lima,1,3,0.003506,0.732458,0.000000,213
lima,1,4,0.003506,0.734009,0.000000,214
lima,1,5,0.003506,0.746996,0.000000,215
london,0,2,0.002455,0.658101,0.000000,216
london,0,3,0.002455,0.687702,0.000000,217
london,0,4,0.002455,0.697950,0.000000,218
london,0,5,0.002455,0.722696,0.000000,219
london,1,2,0.002406,0.666603,0.000000,220
london,1,3,0.002406,0.745457,0.000000,221
london,1,4,0.002406,0.745597,0.000000,222
london,1,5,0.002406,0.749676,0.000000,223
makarresh,0,2,0.003606,0.666665,0.000000,224
makarresh,0,3,0.003606,0.749176,0.000000,225
makarresh,0,4,0.003606,0.749180,0.000000,226
makarresh,0,5,0.003606,0.749849,1.000000,227
makarresh,1,2,0.003675,0.513062,0.000000,228
makarresh,1,3,0.003675,0.519076,0.000000,229
makarresh,1,4,0.003675,0.519574,0.000000,230
makarresh,1,5,0.003675,0.523823,0.000000,231
melbourne,0,2,0.003466,0.666502,0.000000,232
melbourne,0,3,0.003466,0.742600,0.000000,233
melbourne,0,4,0.003466,0.742946,0.000000,234
melbourne,0,5,0.003466,0.749332,0.000000,235
melbourne,1,2,0.003508,0.655173,0.000000,236
melbourne,1,3,0.003508,0.677016,0.000000,237
melbourne,1,4,0.003508,0.689601,0.000000,238
melbourne,1,5,0.003508,0.714178,0.000000,239
manhattan,0,2,0.003586,0.548150,0.000000,240
manhattan,0,3,0.003586,0.565066,0.000000,241
manhattan,0,4,0.003586,0.571332,0.000000,242
manhattan,0,5,0.003586,0.580337,0.000000,243
manhattan,1,2,0.003481,0.666658,0.000000,244
manhattan,1,3,0.003481,0.748303,0.000000,245
manhattan,1,4,0.003481,0.748324,0.000000,246
manhattan,1,5,0.003481,0.749887,0.000000,247
manila,0,2,0.003803,0.664147,0.000000,248
manila,0,3,0.003803,0.717794,0.000000,249
manila,0,4,0.003803,0.721851,0.000000,250
manila,0,5,0.003803,0.741279,0.000000,251
manila,1,2,0.003534,0.666619,0.000000,252
manila,1,3,0.003534,0.746145,0.000000,253
manila,1,4,0.003534,0.746248,0.000000,254
manila,1,5,0.003534,0.749786,0.000000,255
montreal,0,2,0.003491,0.666655,0.000000,256
montreal,0,3,0.003491,0.748135,0.000000,257
montreal,0,4,0.003491,0.748161,0.000000,258
montreal,0,5,0.003491,0.749921,0.000000,259
montreal,1,2,0.003553,0.664130,0.000000,260
montreal,1,3,0.003553,0.717795,0.000000,261
montreal,1,4,0.003553,0.721849,0.000000,262
montreal,1,5,0.003553,0.741349,0.000000,263
mumbai,0,2,0.003452,0.666628,0.000000,264
mumbai,0,3,0.003452,0.746530,0.000000,265
mumbai,0,4,0.003452,0.746615,0.000000,266
mumbai,0,5,0.003452,0.749814,0.000000,267
mumbai,1,2,0.003580,0.663861,0.000000,268
mumbai,1,3,0.003580,0.715983,0.000000,269
mumbai,1,4,0.003580,0.720382,0.000000,270
mumbai,1,5,0.003580,0.740478,0.000000,271
nairobi,0,2,0.003451,0.665825,0.000000,272
nairobi,0,3,0.003451,0.732352,0.000000,273
nairobi,0,4,0.003451,0.733920,0.000000,274
nairobi,0,5,0.003451,0.747014,0.000000,275
nairobi,1,2,0.003429,0.666589,0.000000,276
nairobi,1,3,0.003429,0.744968,0.000000,277
nairobi,1,4,0.003429,0.745137,0.000000,278
nairobi,1,5,0.003429,0.749604,0.000000,279
osaka,0,2,0.003624,0.530650,0.000000,280
osaka,0,3,0.003624,0.543102,0.000000,281
osaka,0,4,0.003624,0.545745,0.000000,282
osaka,0,5,0.003624,0.553609,0.000000,283
osaka,1,2,0.003594,0.666664,0.000000,284
osaka,1,3,0.003594,0.749053,0.000000,285
osaka,1,4,0.003594,0.749060,0.000000,286
osaka,1,5,0.003594,0.749956,0.000000,287
oslo,0,2,0.003696,0.666653,0.000000,288
oslo,0,3,0.003696,0.747951,0.000000,289
oslo,0,4,0.003696,0.747982,0.000000,290
oslo,0,5,0.003696,0.749890,0.000000,291
oslo,1,2,0.003475,0.666463,0.000000,292
oslo,1,3,0.003475,0.741766,0.000000,293
oslo,1,4,0.003475,0.742187,0.000000,294
oslo,1,5,0.003475,0.749239,0.000000,295
ourense,0,2,0.003454,0.666614,0.000000,296
ourense,0,3,0.003454,0.745900,0.000000,297
ourense,0,4,0.003454,0.746016,0.000000,298
ourense,0,5,0.003454,0.749744,0.000000,299
ourense,1,2,0.003470,0.665926,0.000000,300
ourense,1,3,0.003470,0.733535,0.000000,301
ourense,1,4,0.003470,0.734933,0.000000,302
ourense,1,5,0.003470,0.747360,0.000000,303
paris,0,2,0.003456,0.644450,0.000000,304
paris,0,3,0.003456,0.664995,0.000000,305
paris,0,4,0.003456,0.680011,0.000000,306
paris,0,5,0.003456,0.703787,0.000000,307
paris,1,2,0.003452,0.666656,0.000000,308
paris,1,3,0.003452,0.748147,0.000000,309
paris,1,4,0.003452,0.748172,0.000000,310
paris,1,5,0.003452,0.749882,0.000000,311
perth,0,2,0.004173,0.666216,0.000000,312
perth,0,3,0.004173,0.737367,0.000000,313
perth,0,4,0.004173,0.738259,0.000000,314
perth,0,5,0.004173,0.748321,0.000000,315
perth,1,2,0.003450,0.666579,0.000000,316
perth,1,3,0.003450,0.744658,0.000000,317
perth,1,4,0.003450,0.744848,0.000000,318
perth,1,5,0.003450,0.749601,0.000000,319
poughkeepsie,0,2,0.002456,0.657082,0.000000,320
poughkeepsie,0,3,0.002456,0.682439,0.000000,321
poughkeepsie,0,4,0.002456,0.694124,0.000000,322
poughkeepsie,0,5,0.002456,0.718172,0.000000,323
poughkeepsie,1,2,0.002453,0.666564,0.000000,324
poughkeepsie,1,3,0.002453,0.744145,0.000000,325
poughkeepsie,1,4,0.002453,0.744368,0.000000,326
poughkeepsie,1,5,0.002453,0.749471,0.000000,327
prague,0,2,0.003469,0.663756,0.000000,328
prague,0,3,0.003469,0.715145,0.000000,329
prague,0,4,0.003469,0.719712,0.000000,330
prague,0,5,0.003469,0.739982,0.000000,331
prague,1,2,0.003448,0.666655,0.000000,332
prague,1,3,0.003448,0.748104,0.000000,333
prague,1,4,0.003448,0.748131,0.000000,334
prague,1,5,0.003448,0.749941,0.000000,335
quito,0,2,0.003410,0.666554,0.000000,336
quito,0,3,0.003410,0.743455,0.000000,337
quito,0,4,0.003410,0.743718,0.000000,338
quito,0,5,0.003410,0.749036,0.000000,339
quito,1,2,0.003476,0.663213,0.000000,340
quito,1,3,0.003476,0.711557,0.000000,341
quito,1,4,0.003476,0.716842,0.000000,342
quito,1,5,0.003476,0.738019,0.000000,343
rochester,0,2,0.002463,0.666644,0.000000,344
rochester,0,3,0.002463,0.747199,0.000000,345
rochester,0,4,0.002463,0.747253,0.000000,346
rochester,0,5,0.002463,0.749720,0.000000,347
rochester,1,2,0.002512,0.548750,0.000000,348
rochester,1,3,0.002512,0.565784,0.000000,349
rochester,1,4,0.002512,0.572198,0.000000,350
rochester,1,5,0.002512,0.581199,0.000000,351
rome,0,2,0.003549,0.666451,0.000000,352
rome,0,3,0.003549,0.741527,0.000000,353
rome,0,4,0.003549,0.741970,0.000000,354
rome,0,5,0.003549,0.749205,1.000000,355
rome,1,2,0.003583,0.666560,0.000000,356
rome,1,3,0.003583,0.744131,0.000000,357
rome,1,4,0.003583,0.744358,0.000000,358
rome,1,5,0.003583,0.749559,0.000000,359
santiago,0,2,0.003481,0.666592,0.000000,360
santiago,0,3,0.003481,0.745121,0.000000,361
santiago,0,4,0.003481,0.745283,0.000000,362
santiago,0,5,0.003481,0.749681,0.000000,363
santiago,1,2,0.003415,0.666646,0.000000,364
santiago,1,3,0.003415,0.747465,0.000000,365
santiago,1,4,0.003415,0.747511,0.000000,366
santiago,1,5,0.003415,0.749885,0.000000,367
singapore,0,2,0.002545,0.664604,0.000000,368
singapore,0,3,0.002545,0.721200,0.000000,369
singapore,0,4,0.002545,0.724622,0.000000,370
singapore,0,5,0.002545,0.742872,0.000000,371
singapore,1,2,0.002624,0.666600,0.000000,372
singapore,1,3,0.002624,0.745387,0.000000,373
singapore,1,4,0.002624,0.745531,0.000000,374
singapore,1,5,0.002624,0.749691,0.000000,375
sydney,0,2,0.003753,0.666647,0.000000,376
sydney,0,3,0.003753,0.747541,0.000000,377
sydney,0,4,0.003753,0.747585,0.000000,378
sydney,0,5,0.003753,0.749885,0.000000,379
sydney,1,2,0.003530,0.662682,0.000000,380
sydney,1,3,0.003530,0.708749,0.000000,381
sydney,1,4,0.003530,0.714582,0.000000,382
sydney,1,5,0.003530,0.736614,0.000000,383
torino,0,2,0.003673,0.666661,0.000000,384
torino,0,3,0.003673,0.748577,0.000000,385
torino,0,4,0.003673,0.748591,0.000000,386
torino,0,5,0.003673,0.749865,0.000000,387
torino,1,2,0.003621,0.532016,0.000000,388
torino,1,3,0.003621,0.532593,0.000000,389
torino,1,4,0.003621,0.547752,0.000000,390
torino,1,5,0.003621,0.548612,0.000000,391
toronto,0,2,0.003463,0.612750,0.000000,392
toronto,0,3,0.003463,0.631303,0.000000,393
toronto,0,4,0.003463,0.652672,0.000000,394
toronto,0,5,0.003463,0.669816,0.000000,395
toronto,1,2,0.003522,0.666653,0.000000,396
toronto,1,3,0.003522,0.747924,0.000000,397
toronto,1,4,0.003522,0.747955,0.000000,398
toronto,1,5,0.003522,0.749887,0.000000,399
valencia,0,2,0.003655,0.666539,0.000000,400
valencia,0,3,0.003655,0.743545,0.000000,401
valencia,0,4,0.003655,0.743815,0.000000,402
valencia,0,5,0.003655,0.749485,0.000000,403
valencia,1,2,0.003479,0.665938,0.000000,404
valencia,1,3,0.003479,0.733623,0.000000,405
valencia,1,4,0.003479,0.735007,0.000000,406
valencia,1,5,0.003479,0.747349,0.000000,407
vigo,0,2,0.003440,0.665205,0.000000,408
vigo,0,3,0.003440,0.726149,0.000000,409
vigo,0,4,0.003440,0.728700,0.000000,410
vigo,0,5,0.003440,0.744897,0.000000,411
vigo,1,2,0.003570,0.666618,0.000000,412
vigo,1,3,0.003570,0.746042,0.000000,413
vigo,1,4,0.003570,0.746150,0.000000,414
vigo,1,5,0.003570,0.749734,0.000000,415
washington,0,2,0.003617,0.588600,0.000000,416
washington,0,3,0.003617,0.608168,0.000000,417
washington,0,4,0.003617,0.627336,0.000000,418
washington,0,5,0.003617,0.638818,0.000000,419
washington,1,2,0.003555,0.666665,0.000000,420
washington,1,3,0.003555,0.749228,0.000000,421
washington,1,4,0.003555,0.749232,0.000000,422
washington,1,5,0.003555,0.749930,0.000000,423
yorktown,0,2,0.003492,0.666486,0.000000,424
yorktown,0,3,0.003492,0.742245,0.000000,425
yorktown,0,4,0.003492,0.742622,0.000000,426
yorktown,0,5,0.003492,0.749284,0.000000,427
yorktown,1,2,0.003424,0.603850,0.000000,428
yorktown,1,3,0.003424,0.621566,0.000000,429
yorktown,1,4,0.003424,0.644365,0.000000,430
yorktown,1,5,0.003424,0.658479,0.000000,431
perfect_hardware,0,2,0.000989,0.666667,0.000000,432
perfect_hardware,0,3,0.000989,0.750000,0.000000,433
perfect_hardware,0,4,0.000989,0.750000,0.000000,434
perfect_hardware,0,5,0.000989,0.750000,0.000000,435
