hardware,embedding_index,horizon,method,time,result,threshold
montreal,1,5,convex,0.027650,1,0.740350
montreal,1,6,convex,0.048400,1,0.740630
rochester,0,1,convex,0.002520,1,0.663430
rochester,0,2,convex,0.004390,1,0.665640
rochester,0,3,convex,0.006760,1,0.746200
rochester,0,4,convex,0.012380,1,0.746250
rochester,0,5,convex,0.021610,1,0.748720
rochester,0,6,convex,0.035150,1,0.748720
rochester,1,1,convex,0.002540,1,0.543420
rochester,1,2,convex,0.004180,1,0.547750
rochester,1,3,convex,0.006240,1,0.564780
rochester,1,4,convex,0.010460,1,0.571200
rochester,1,5,convex,0.016730,1,0.580200
rochester,1,6,convex,0.031330,1,0.588120
torino,0,1,convex,0.003080,1,0.664520
torino,0,2,convex,0.006820,1,0.665660
torino,0,3,convex,0.009730,1,0.747580
torino,0,4,convex,0.021230,1,0.747590
torino,0,5,convex,0.037210,1,0.748860
torino,0,6,convex,0.066830,1,0.748860
torino,1,1,convex,0.002540,1,0.499000
torino,1,2,convex,0.009330,1,0.531020
torino,1,3,convex,0.033840,1,0.531590
torino,1,4,convex,0.036450,1,0.546750
torino,1,5,convex,0.106880,1,0.547610
torino,1,6,convex,0.125840,1,0.558350
vigo,0,1,convex,0.002380,1,0.648100
vigo,0,2,convex,0.003860,1,0.664200
vigo,0,3,convex,0.006290,1,0.725150
vigo,0,4,convex,0.011350,1,0.727700
vigo,0,5,convex,0.019870,1,0.743900
vigo,0,6,convex,0.032940,1,0.744010
vigo,1,1,convex,0.002060,1,0.662390
vigo,1,2,convex,0.003800,1,0.665620
vigo,1,3,convex,0.006240,1,0.745040
vigo,1,4,convex,0.011810,1,0.745150
vigo,1,5,convex,0.020440,1,0.748730
vigo,1,6,convex,0.033960,1,0.748730
belem,0,1,convex,0.002020,1,0.656210
belem,0,2,convex,0.003770,1,0.665250
belem,0,3,convex,0.006140,1,0.737000
belem,0,4,convex,0.011410,1,0.737810
belem,0,5,convex,0.019860,1,0.747520
belem,0,6,convex,0.032880,1,0.747530
belem,1,1,convex,0.002030,1,0.661030
belem,1,2,convex,0.003900,1,0.665570
belem,1,3,convex,0.006360,1,0.743360
belem,1,4,convex,0.012170,1,0.743570
belem,1,5,convex,0.021350,1,0.748580
belem,1,6,convex,0.036890,1,0.748580
brooklyn,0,1,convex,0.002590,1,0.662870
brooklyn,0,2,convex,0.005000,1,0.665630
brooklyn,0,3,convex,0.008120,1,0.745650
brooklyn,0,4,convex,0.015830,1,0.745730
brooklyn,0,5,convex,0.026430,1,0.748810
brooklyn,0,6,convex,0.045820,1,0.748810
brooklyn,1,1,convex,0.002590,1,0.645190
brooklyn,1,2,convex,0.005560,1,0.663670
brooklyn,1,3,convex,0.008290,1,0.719560
brooklyn,1,4,convex,0.018150,1,0.723110
brooklyn,1,5,convex,0.030760,1,0.740920
brooklyn,1,6,convex,0.058510,1,0.741170
fez,0,1,convex,0.002980,1,0.665340
fez,0,2,convex,0.005000,1,0.665670
fez,0,3,convex,0.007500,1,0.748580
fez,0,4,convex,0.014130,1,0.748580
fez,0,5,convex,0.023610,1,0.748950
fez,0,6,convex,0.039380,1,0.748950
fez,1,1,convex,0.004060,1,0.640330
fez,1,2,convex,0.010510,1,0.662560
fez,1,3,convex,0.014160,1,0.713000
fez,1,4,convex,0.033830,1,0.717790
fez,1,5,convex,0.058530,1,0.738460
fez,1,6,convex,0.109490,1,0.738850
guadalupe,0,1,convex,0.002340,1,0.651660
guadalupe,0,2,convex,0.004220,1,0.664750
guadalupe,0,3,convex,0.006800,1,0.730470
guadalupe,0,4,convex,0.013040,1,0.732170
guadalupe,0,5,convex,0.023020,1,0.745740
guadalupe,0,6,convex,0.038480,1,0.745790
guadalupe,1,1,convex,0.002180,1,0.663290
guadalupe,1,2,convex,0.004500,1,0.665640
guadalupe,1,3,convex,0.007170,1,0.746180
guadalupe,1,4,convex,0.014230,1,0.746230
guadalupe,1,5,convex,0.024850,1,0.748850
guadalupe,1,6,convex,0.043290,1,0.748850
london,0,1,convex,0.002060,1,0.624470
london,0,2,convex,0.003470,1,0.657100
london,0,3,convex,0.005890,1,0.686700
london,0,4,convex,0.010390,1,0.696950
london,0,5,convex,0.018070,1,0.721700
london,0,6,convex,0.028740,1,0.723400
london,1,1,convex,0.002080,1,0.661920
london,1,2,convex,0.003390,1,0.665600
london,1,3,convex,0.005910,1,0.744460
london,1,4,convex,0.010420,1,0.744600
london,1,5,convex,0.018120,1,0.748680
london,1,6,convex,0.029210,1,0.748680
mumbai,0,1,convex,0.002210,1,0.662750
mumbai,0,2,convex,0.004210,1,0.665630
mumbai,0,3,convex,0.006710,1,0.745530
mumbai,0,4,convex,0.013860,1,0.745610
mumbai,0,5,convex,0.023980,1,0.748810
mumbai,0,6,convex,0.039390,1,0.748810
mumbai,1,1,convex,0.002570,1,0.641550
mumbai,1,2,convex,0.005000,1,0.662860
mumbai,1,3,convex,0.007200,1,0.714980
mumbai,1,4,convex,0.014370,1,0.719380
mumbai,1,5,convex,0.024850,1,0.739480
mumbai,1,6,convex,0.043480,1,0.739810
almaden,0,1,convex,0.002200,1,0.662300
almaden,0,2,convex,0.003550,1,0.665620
almaden,0,3,convex,0.005970,1,0.744920
almaden,0,4,convex,0.010430,1,0.745030
almaden,0,5,convex,0.018180,1,0.748710
almaden,0,6,convex,0.029430,1,0.748710
almaden,1,1,convex,0.002160,1,0.606330
almaden,1,2,convex,0.003710,1,0.635670
almaden,1,3,convex,0.006550,1,0.655600
almaden,1,4,convex,0.011180,1,0.672460
almaden,1,5,convex,0.019150,1,0.694850
almaden,1,6,convex,0.030600,1,0.699350
geneva,0,1,convex,0.002310,1,0.630970
geneva,0,2,convex,0.005830,1,0.659690
geneva,0,3,convex,0.007270,1,0.697630
geneva,0,4,convex,0.014590,1,0.705560
geneva,0,5,convex,0.025430,1,0.729400
geneva,0,6,convex,0.044080,1,0.730440
geneva,1,1,convex,0.002570,1,0.662570
geneva,1,2,convex,0.004780,1,0.665620
geneva,1,3,convex,0.007330,1,0.745190
geneva,1,4,convex,0.014780,1,0.745290
geneva,1,5,convex,0.026120,1,0.748680
geneva,1,6,convex,0.045520,1,0.748680
lima,0,1,convex,0.002070,1,0.661940
lima,0,2,convex,0.004380,1,0.665600
lima,0,3,convex,0.006760,1,0.744540
lima,0,4,convex,0.012520,1,0.744670
lima,0,5,convex,0.021770,1,0.748740
lima,0,6,convex,0.034770,1,0.748740
lima,1,1,convex,0.002340,1,0.652380
lima,1,2,convex,0.004170,1,0.664840
lima,1,3,convex,0.006340,1,0.731460
lima,1,4,convex,0.012160,1,0.733010
lima,1,5,convex,0.022210,1,0.746000
lima,1,6,convex,0.035630,1,0.746040
makarresh,0,1,convex,0.003100,1,0.665070
makarresh,0,2,convex,0.006190,1,0.665670
makarresh,0,3,convex,0.009010,1,0.748280
makarresh,0,4,convex,0.018890,1,0.748280
makarresh,0,5,convex,0.032980,1,0.748950
makarresh,0,6,convex,0.059220,1,0.748950
makarresh,1,1,convex,0.003930,1,0.511730
makarresh,1,2,convex,0.005350,1,0.512060
makarresh,1,3,convex,0.009950,1,0.518080
makarresh,1,4,convex,0.015940,1,0.518570
makarresh,1,5,convex,0.028060,1,0.522820
makarresh,1,6,convex,0.046850,1,0.523450
manhattan,0,1,convex,0.003180,1,0.542920
manhattan,0,2,convex,0.005010,1,0.547150
manhattan,0,3,convex,0.007030,1,0.564070
manhattan,0,4,convex,0.011840,1,0.570330
manhattan,0,5,convex,0.019360,1,0.579340
manhattan,0,6,convex,0.038450,1,0.587070
manhattan,1,1,convex,0.003130,1,0.664260
manhattan,1,2,convex,0.006960,1,0.665660
