algorithm_index,min_success0,avg_success0,max_success0,min_success1,avg_success1,max_success1,min_meas_succ,avg_meas_succ,max_meas_succ,min_diff_meas,avg_diff_meas,max_diff_meas,min_abs_diff_meas,avg_abs_diff_meas,max_abs_diff_meas,min_succ_1Q,avg_succ_1Q,max_succ_1Q,min_succ_2Q,avg_succ_2Q,max_succ_2Q,num_hardwares
215,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.0,0.0,0.0,0.0,0.0,0.0,0.999625,0.9998125,1.0,100,0.0,0.0,1
216,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.0,0.0,0.0,0.0,0.0,0.0,0.999625,0.9998125,1.0,100,0.0,0.0,1
217,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.0,0.0,0.0,0.0,0.0,0.0,0.999423,0.999423,0.999423,100,0.0,0.0,1
218,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.0,0.0,0.0,0.0,0.0,0.0,0.999423,0.999423,0.999423,100,0.0,0.0,1
219,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.0,0.0,0.0,0.0,0.0,0.0,0.999423,0.999423,0.999423,100,0.0,0.0,1
220,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.0,0.0,0.0,0.0,0.0,0.0,0.999423,0.999423,0.999423,100,0.0,0.0,1
221,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.0,0.0,0.0,0.0,0.0,0.0,0.999423,0.999423,0.999423,100,0.0,0.0,1
222,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.0,0.0,0.0,0.0,0.0,0.0,0.999423,0.999423,0.999423,100,0.0,0.0,1
223,0.9833,0.9833443333333333,0.9834,0.9833,0.9833443333333333,0.9834,0.9833,0.9833443333333333,0.9834,0.0,0.0,0.0,0.0,0.0,0.0,0.999362,0.9997297999999999,1.0,100,0.0,0.0,3
224,0.9833,0.9833443333333333,0.9834,0.9833,0.9833443333333333,0.9834,0.9833,0.9833443333333333,0.9834,0.0,0.0,0.0,0.0,0.0,0.0,0.999362,0.9997297999999999,1.0,100,0.0,0.0,3
225,0.9833,0.9833164999999999,0.983333,0.9833,0.9833164999999999,0.983333,0.9833,0.9833164999999999,0.983333,0.0,0.0,0.0,0.0,0.0,0.0,0.999362,0.99964,1.0,100,0.0,0.0,2
226,0.9833,0.9833443333333333,0.9834,0.9833,0.9833443333333333,0.9834,0.9833,0.9833443333333333,0.9834,0.0,0.0,0.0,0.0,0.0,0.0,0.999362,0.9997297999999999,1.0,100,0.0,0.0,3
227,0.9868,0.9869,0.987,0.9868,0.9869,0.987,0.9868,0.9869,0.987,0.0,0.0,0.0,0.0,0.0,0.0,0.999625,0.999765,1.0,100,0.0,0.0,2
228,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.0,0.0,0.0,0.0,0.0,0.0,0.99967,0.999835,1.0,100,0.0,0.0,1
229,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.0,0.0,0.0,0.0,0.0,0.0,0.99967,0.999835,1.0,100,0.0,0.0,1
230,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.0,0.0,0.0,0.0,0.0,0.0,0.99967,0.999835,1.0,100,0.0,0.0,1
