------ Experiment.bell_state_reach ------
%%%%%%%%%%%% bellman %%%%%%%%%%%%
count hardware (bellman):  45
count embeddings (bellman):  136
total diff. algorithms (bellman):  27
accuracy perfect hardware (bellman): 0.6, 0.6, 1.0, 1.0, 1.0, 1.0

num. algorithms per horizon (method=bellman)
1 :  1
2 :  1
3 :  4
4 :  6
5 :  7
6 :  8
--


number of improvements per horizon:
--> horizon 1: 7 
--> horizon 2: 7 
--> horizon 3: 7 
--> horizon 4: 135 
--> horizon 5: 17 
--> horizon 6: 135 


Improvements with respect to perfect algorithms per horizon
Horizon = 4
hardware=lima-1, diff=0.00644, prob=0.97322, baseline_prob=0.96678, algorithm=6, method=bellman, horizon=4,
hardware=jakarta-0, diff=0.00627, prob=0.98314, baseline_prob=0.97687, algorithm=6, method=bellman, horizon=4,
hardware=jakarta-1, diff=0.00624, prob=0.97832, baseline_prob=0.97208, algorithm=6, method=bellman, horizon=4,
hardware=ourense-1, diff=0.00595, prob=0.98162, baseline_prob=0.97567, algorithm=6, method=bellman, horizon=4,
hardware=almaden-0, diff=0.00587, prob=0.98067, baseline_prob=0.9748, algorithm=6, method=bellman, horizon=4,
hardware=vigo-1, diff=0.00571, prob=0.98036, baseline_prob=0.97465, algorithm=6, method=bellman, horizon=4,
hardware=almaden-2, diff=0.00562, prob=0.93869, baseline_prob=0.93307, algorithm=6, method=bellman, horizon=4,
hardware=manila-1, diff=0.00562, prob=0.97925, baseline_prob=0.97363, algorithm=6, method=bellman, horizon=4,
hardware=geneva-1, diff=0.00543, prob=0.98652, baseline_prob=0.98109, algorithm=6, method=bellman, horizon=4,
hardware=boeblingen-0, diff=0.00519, prob=0.98538, baseline_prob=0.98019, algorithm=6, method=bellman, horizon=4,
hardware=boeblingen-2, diff=0.00512, prob=0.97113, baseline_prob=0.96601, algorithm=6, method=bellman, horizon=4,
hardware=mumbai-0, diff=0.00512, prob=0.98649, baseline_prob=0.98137, algorithm=6, method=bellman, horizon=4,
hardware=mumbai-2, diff=0.00501, prob=0.967, baseline_prob=0.96199, algorithm=6, method=bellman, horizon=4,
hardware=brooklyn-0, diff=0.00492, prob=0.98576, baseline_prob=0.98084, algorithm=6, method=bellman, horizon=4,
hardware=brooklyn-2, diff=0.00476, prob=0.95588, baseline_prob=0.95112, algorithm=6, method=bellman, horizon=4,
hardware=guadalupe-1, diff=0.00418, prob=0.98703, baseline_prob=0.98285, algorithm=6, method=bellman, horizon=4,
hardware=guadalupe-3, diff=0.00414, prob=0.97835, baseline_prob=0.97421, algorithm=6, method=bellman, horizon=4,
hardware=athens-0, diff=0.00398, prob=0.98664, baseline_prob=0.98266, algorithm=6, method=bellman, horizon=4,
hardware=athens-1, diff=0.00393, prob=0.97509, baseline_prob=0.97116, algorithm=6, method=bellman, horizon=4,
hardware=rochester-0, diff=0.00391, prob=0.97933, baseline_prob=0.97542, algorithm=6, method=bellman, horizon=4,
hardware=santiago-1, diff=0.00379, prob=0.98775, baseline_prob=0.98396, algorithm=6, method=bellman, horizon=4,
hardware=sydney-0, diff=0.00367, prob=0.98885, baseline_prob=0.98518, algorithm=6, method=bellman, horizon=4,
hardware=sydney-2, diff=0.00331, prob=0.89192, baseline_prob=0.88861, algorithm=6, method=bellman, horizon=4,
hardware=toronto-1, diff=0.00308, prob=0.98996, baseline_prob=0.98688, algorithm=6, method=bellman, horizon=4,
hardware=oslo-0, diff=0.00305, prob=0.98942, baseline_prob=0.98637, algorithm=6, method=bellman, horizon=4,
hardware=oslo-2, diff=0.00304, prob=0.98754, baseline_prob=0.9845, algorithm=6, method=bellman, horizon=4,
hardware=toronto-3, diff=0.00283, prob=0.90897, baseline_prob=0.90614, algorithm=6, method=bellman, horizon=4,
hardware=montreal-0, diff=0.00281, prob=0.99061, baseline_prob=0.9878, algorithm=6, method=bellman, horizon=4,
hardware=montreal-2, diff=0.00277, prob=0.97584, baseline_prob=0.97307, algorithm=6, method=bellman, horizon=4,
hardware=paris-1, diff=0.00272, prob=0.98943, baseline_prob=0.98671, algorithm=6, method=bellman, horizon=4,
hardware=paris-3, diff=0.00262, prob=0.95122, baseline_prob=0.9486, algorithm=6, method=bellman, horizon=4,
hardware=manhattan-1, diff=0.00249, prob=0.99001, baseline_prob=0.98752, algorithm=6, method=bellman, horizon=4,
hardware=auckland-0, diff=0.00218, prob=0.99217, baseline_prob=0.98999, algorithm=6, method=bellman, horizon=4,
hardware=hanoi-0, diff=0.00218, prob=0.99308, baseline_prob=0.9909, algorithm=6, method=bellman, horizon=4,
hardware=auckland-2, diff=0.00215, prob=0.98009, baseline_prob=0.97794, algorithm=6, method=bellman, horizon=4,
hardware=cairo-0, diff=0.00202, prob=0.99305, baseline_prob=0.99103, algorithm=6, method=bellman, horizon=4,
hardware=cairo-2, diff=0.00198, prob=0.97512, baseline_prob=0.97314, algorithm=6, method=bellman, horizon=4,
hardware=kolkata-1, diff=0.00194, prob=0.99275, baseline_prob=0.99081, algorithm=6, method=bellman, horizon=4,
hardware=algiers-0, diff=0.0019, prob=0.99315, baseline_prob=0.99125, algorithm=6, method=bellman, horizon=4,
hardware=kolkata-2, diff=0.00187, prob=0.95438, baseline_prob=0.95251, algorithm=41, method=bellman, horizon=4,
hardware=washington-1, diff=0.00111, prob=0.99427, baseline_prob=0.99316, algorithm=6, method=bellman, horizon=4,

Horizon = 6
hardware=lagos-0, diff=0.08772, prob=0.60197, baseline_prob=0.51425, algorithm=51, method=bellman, horizon=6,
hardware=lagos-2, diff=0.0865, prob=0.59361, baseline_prob=0.50711, algorithm=51, method=bellman, horizon=6,
hardware=manhattan-0, diff=0.0692, prob=0.67407, baseline_prob=0.60487, algorithm=10, method=bellman, horizon=6,
hardware=rochester-1, diff=0.06852, prob=0.67044, baseline_prob=0.60192, algorithm=10, method=bellman, horizon=6,
hardware=cambridge-1, diff=0.06729, prob=0.68983, baseline_prob=0.62254, algorithm=10, method=bellman, horizon=6,
hardware=washington-0, diff=0.05715, prob=0.78061, baseline_prob=0.72346, algorithm=10, method=bellman, horizon=6,
hardware=manhattan-2, diff=0.04811, prob=0.33179, baseline_prob=0.28368, algorithm=30, method=bellman, horizon=6,
hardware=rochester-3, diff=0.0481, prob=0.33262, baseline_prob=0.28452, algorithm=62, method=bellman, horizon=6,
hardware=cambridge-3, diff=0.04795, prob=0.34119, baseline_prob=0.29324, algorithm=30, method=bellman, horizon=6,
hardware=toronto-0, diff=0.04741, prob=0.83592, baseline_prob=0.78851, algorithm=10, method=bellman, horizon=6,
hardware=washington-2, diff=0.04597, prob=0.38477, baseline_prob=0.3388, algorithm=30, method=bellman, horizon=6,
hardware=toronto-2, diff=0.04353, prob=0.76753, baseline_prob=0.724, algorithm=10, method=bellman, horizon=6,
hardware=almaden-1, diff=0.0366, prob=0.88105, baseline_prob=0.84445, algorithm=10, method=bellman, horizon=6,
hardware=almaden-3, diff=0.03503, prob=0.84333, baseline_prob=0.8083, algorithm=10, method=bellman, horizon=6,
hardware=hanoi-3, diff=0.03432, prob=0.48993, baseline_prob=0.45561, algorithm=23, method=bellman, horizon=6,
hardware=algiers-3, diff=0.0338, prob=0.49556, baseline_prob=0.46176, algorithm=16, method=bellman, horizon=6,
hardware=cambridge-2, diff=0.03338, prob=0.49957, baseline_prob=0.46619, algorithm=23, method=bellman, horizon=6,
hardware=geneva-2, diff=0.03337, prob=0.49972, baseline_prob=0.46635, algorithm=16, method=bellman, horizon=6,
hardware=rochester-2, diff=0.03335, prob=0.49985, baseline_prob=0.4665, algorithm=16, method=bellman, horizon=6,
hardware=algiers-2, diff=0.03334, prob=0.49997, baseline_prob=0.46663, algorithm=16, method=bellman, horizon=6,
hardware=manhattan-3, diff=0.03334, prob=0.49994, baseline_prob=0.4666, algorithm=23, method=bellman, horizon=6,
hardware=washington-3, diff=0.03334, prob=0.49999, baseline_prob=0.46665, algorithm=23, method=bellman, horizon=6,
hardware=hanoi-2, diff=0.03333, prob=0.49995, baseline_prob=0.46662, algorithm=23, method=bellman, horizon=6,
hardware=paris-0, diff=0.03311, prob=0.8972, baseline_prob=0.86409, algorithm=10, method=bellman, horizon=6,
hardware=paris-2, diff=0.03184, prob=0.86255, baseline_prob=0.83071, algorithm=10, method=bellman, horizon=6,
hardware=boeblingen-1, diff=0.02892, prob=0.9137, baseline_prob=0.88478, algorithm=10, method=bellman, horizon=6,
hardware=boeblingen-3, diff=0.0285, prob=0.90048, baseline_prob=0.87198, algorithm=10, method=bellman, horizon=6,
hardware=melbourne-1, diff=0.02737, prob=0.9133, baseline_prob=0.88593, algorithm=10, method=bellman, horizon=6,
hardware=melbourne-3, diff=0.02662, prob=0.88817, baseline_prob=0.86155, algorithm=10, method=bellman, horizon=6,
hardware=poughkeepsie-0, diff=0.02436, prob=0.92526, baseline_prob=0.9009, algorithm=10, method=bellman, horizon=6,
hardware=johannesburg-1, diff=0.02427, prob=0.9247, baseline_prob=0.90043, algorithm=10, method=bellman, horizon=6,
hardware=johannesburg-3, diff=0.02353, prob=0.89647, baseline_prob=0.87294, algorithm=10, method=bellman, horizon=6,
hardware=london-1, diff=0.02246, prob=0.92554, baseline_prob=0.90308, algorithm=10, method=bellman, horizon=6,
hardware=cairo-1, diff=0.01928, prob=0.9468, baseline_prob=0.92752, algorithm=10, method=bellman, horizon=6,
