------ Experiment.reset ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  55
count embeddings (convex):  109
total diff. algorithms (convex):  478
accuracy perfect hardware (convex): 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0

num. algorithms per horizon (method=convex)
1 :  19
2 :  25
3 :  72
4 :  83
5 :  76
6 :  105
7 :  98
--


number of improvements per horizon:
--> horizon 1: 108 
--> horizon 2: 81 
--> horizon 3: 108 
--> horizon 4: 93 
--> horizon 5: 108 
--> horizon 6: 108 
--> horizon 7: 108 


hardware=kolkata-0, diff=0.04502, prob=0.95284, baseline_prob=0.90782, algorithm=269, method=convex, horizon=3,
hardware=perth-0, diff=0.04149, prob=0.95666, baseline_prob=0.91517, algorithm=67, method=convex, horizon=3,
hardware=belem-0, diff=0.03979, prob=0.95849, baseline_prob=0.9187, algorithm=81, method=convex, horizon=3,
hardware=casablanca-1, diff=0.03175, prob=0.96718, baseline_prob=0.93543, algorithm=175, method=convex, horizon=3,
hardware=essex-0, diff=0.0305, prob=0.96856, baseline_prob=0.93806, algorithm=191, method=convex, horizon=3,
hardware=rome-0, diff=0.02939, prob=0.96969, baseline_prob=0.9403, algorithm=104, method=convex, horizon=3,
hardware=oslo-1, diff=0.02865, prob=0.97048, baseline_prob=0.94183, algorithm=339, method=convex, horizon=3,
hardware=yorktown-0, diff=0.02712, prob=0.97211, baseline_prob=0.94499, algorithm=175, method=convex, horizon=3,
hardware=bogota-0, diff=0.02646, prob=0.9728, baseline_prob=0.94634, algorithm=104, method=convex, horizon=3,
hardware=melbourne-0, diff=0.02599, prob=0.9733, baseline_prob=0.94731, algorithm=86, method=convex, horizon=3,
hardware=burlington-0, diff=0.0242, prob=0.9752, baseline_prob=0.951, algorithm=134, method=convex, horizon=3,
hardware=athens-1, diff=0.02385, prob=0.97555, baseline_prob=0.9517, algorithm=67, method=convex, horizon=3,
hardware=valencia-0, diff=0.023, prob=0.97645, baseline_prob=0.95345, algorithm=477, method=convex, horizon=3,
hardware=quito-0, diff=0.02262, prob=0.97689, baseline_prob=0.95427, algorithm=421, method=convex, horizon=3,
hardware=poughkeepsie-1, diff=0.02125, prob=0.97831, baseline_prob=0.95706, algorithm=408, method=convex, horizon=3,
hardware=rome-1, diff=0.02109, prob=0.97845, baseline_prob=0.95736, algorithm=175, method=convex, horizon=3,
hardware=belem-1, diff=0.02033, prob=0.97924, baseline_prob=0.95891, algorithm=86, method=convex, horizon=3,
hardware=perth-1, diff=0.01931, prob=0.98031, baseline_prob=0.961, algorithm=395, method=convex, horizon=3,
hardware=auckland-1, diff=0.01903, prob=0.98059, baseline_prob=0.96156, algorithm=76, method=convex, horizon=3,
hardware=nairobi-1, diff=0.01822, prob=0.98144, baseline_prob=0.96322, algorithm=359, method=convex, horizon=3,
hardware=johannesburg-0, diff=0.01813, prob=0.98157, baseline_prob=0.96344, algorithm=249, method=convex, horizon=3,
hardware=santiago-0, diff=0.0178, prob=0.98188, baseline_prob=0.96408, algorithm=175, method=convex, horizon=3,
hardware=cambridge-0, diff=0.01714, prob=0.98256, baseline_prob=0.96542, algorithm=158, method=convex, horizon=3,
hardware=singapore-1, diff=0.01703, prob=0.98268, baseline_prob=0.96565, algorithm=451, method=convex, horizon=3,
hardware=london-1, diff=0.0168, prob=0.98292, baseline_prob=0.96612, algorithm=315, method=convex, horizon=3,
hardware=lagos-1, diff=0.01657, prob=0.98316, baseline_prob=0.96659, algorithm=44, method=convex, horizon=3,
hardware=lima-0, diff=0.01641, prob=0.98331, baseline_prob=0.9669, algorithm=165, method=convex, horizon=3,
hardware=jakarta-0, diff=0.01588, prob=0.98386, baseline_prob=0.96798, algorithm=44, method=convex, horizon=3,
hardware=almaden-0, diff=0.01521, prob=0.98456, baseline_prob=0.96935, algorithm=49, method=convex, horizon=3,
hardware=ourense-0, diff=0.01511, prob=0.98465, baseline_prob=0.96954, algorithm=379, method=convex, horizon=3,
hardware=casablanca-0, diff=0.01462, prob=0.98516, baseline_prob=0.97054, algorithm=170, method=convex, horizon=3,
hardware=vigo-1, diff=0.01459, prob=0.98521, baseline_prob=0.97062, algorithm=274, method=convex, horizon=3,
hardware=manila-1, diff=0.0143, prob=0.9855, baseline_prob=0.9712, algorithm=175, method=convex, horizon=3,
hardware=geneva-1, diff=0.01395, prob=0.98586, baseline_prob=0.97191, algorithm=217, method=convex, horizon=3,
hardware=boeblingen-0, diff=0.01327, prob=0.98656, baseline_prob=0.97329, algorithm=92, method=convex, horizon=3,
hardware=mumbai-0, diff=0.01294, prob=0.98689, baseline_prob=0.97395, algorithm=349, method=convex, horizon=3,
hardware=brooklyn-0, diff=0.01248, prob=0.98736, baseline_prob=0.97488, algorithm=76, method=convex, horizon=3,
hardware=rochester-0, diff=0.0107, prob=0.98921, baseline_prob=0.97851, algorithm=428, method=convex, horizon=3,
hardware=guadalupe-1, diff=0.01061, prob=0.98928, baseline_prob=0.97867, algorithm=227, method=convex, horizon=3,
hardware=athens-0, diff=0.01018, prob=0.98971, baseline_prob=0.97953, algorithm=62, method=convex, horizon=3,
hardware=santiago-1, diff=0.00959, prob=0.99031, baseline_prob=0.98072, algorithm=444, method=convex, horizon=3,
hardware=sydney-0, diff=0.0093, prob=0.9906, baseline_prob=0.9813, algorithm=395, method=convex, horizon=3,
hardware=toronto-1, diff=0.00787, prob=0.99207, baseline_prob=0.9842, algorithm=232, method=convex, horizon=3,
hardware=oslo-0, diff=0.00777, prob=0.99217, baseline_prob=0.9844, algorithm=232, method=convex, horizon=3,
hardware=cusco-0, diff=0.00737, prob=0.99258, baseline_prob=0.98521, algorithm=180, method=convex, horizon=3,
hardware=prague-1, diff=0.00728, prob=0.99266, baseline_prob=0.98538, algorithm=99, method=convex, horizon=3,
hardware=montreal-0, diff=0.00713, prob=0.99282, baseline_prob=0.98569, algorithm=76, method=convex, horizon=3,
hardware=paris-1, diff=0.00701, prob=0.99294, baseline_prob=0.98593, algorithm=388, method=convex, horizon=3,
hardware=manhattan-1, diff=0.00643, prob=0.99354, baseline_prob=0.98711, algorithm=146, method=convex, horizon=3,
hardware=brisbane-1, diff=0.00569, prob=0.99427, baseline_prob=0.98858, algorithm=121, method=convex, horizon=3,
hardware=auckland-0, diff=0.00559, prob=0.99437, baseline_prob=0.98878, algorithm=37, method=convex, horizon=3,
hardware=hanoi-0, diff=0.00556, prob=0.99441, baseline_prob=0.98885, algorithm=232, method=convex, horizon=3,
hardware=torino-0, diff=0.00532, prob=0.99464, baseline_prob=0.98932, algorithm=461, method=convex, horizon=3,
hardware=cairo-0, diff=0.00521, prob=0.99477, baseline_prob=0.98956, algorithm=146, method=convex, horizon=3,
hardware=kolkata-1, diff=0.00494, prob=0.99503, baseline_prob=0.99009, algorithm=274, method=convex, horizon=3,
hardware=algiers-0, diff=0.00489, prob=0.99509, baseline_prob=0.9902, algorithm=37, method=convex, horizon=3,
hardware=kyoto-0, diff=0.00434, prob=0.99563, baseline_prob=0.99129, algorithm=290, method=convex, horizon=3,
hardware=osaka-1, diff=0.00365, prob=0.99633, baseline_prob=0.99268, algorithm=62, method=convex, horizon=3,
hardware=kawasaki-0, diff=0.00356, prob=0.99642, baseline_prob=0.99286, algorithm=259, method=convex, horizon=3,
hardware=makarresh-0, diff=0.00316, prob=0.99722, baseline_prob=0.99406, algorithm=320, method=convex, horizon=3,
hardware=washington-1, diff=0.00292, prob=0.99707, baseline_prob=0.99415, algorithm=492, method=convex, horizon=3,
hardware=kyiv-0, diff=0.00183, prob=0.99817, baseline_prob=0.99634, algorithm=279, method=convex, horizon=3,
hardware=fez-0, diff=0.00157, prob=0.99843, baseline_prob=0.99686, algorithm=203, method=convex, horizon=3,

Horizon = 5
hardware=torino-1, diff=0.37836, prob=0.5961, baseline_prob=0.21774, algorithm=470, method=convex, horizon=5,
hardware=osaka-0, diff=0.19797, prob=0.58864, baseline_prob=0.39067, algorithm=368, method=convex, horizon=5,
hardware=cusco-1, diff=0.19343, prob=0.50293, baseline_prob=0.3095, algorithm=188, method=convex, horizon=5,
hardware=makarresh-1, diff=0.19054, prob=0.53882, baseline_prob=0.34828, algorithm=328, method=convex, horizon=5,
hardware=kyiv-1, diff=0.18751, prob=0.50476, baseline_prob=0.31725, algorithm=287, method=convex, horizon=5,
hardware=lagos-0, diff=0.18563, prob=0.55419, baseline_prob=0.36856, algorithm=301, method=convex, horizon=5,
hardware=kyoto-1, diff=0.17838, prob=0.61819, baseline_prob=0.43981, algorithm=297, method=convex, horizon=5,
hardware=brisbane-0, diff=0.17601, prob=0.82536, baseline_prob=0.64935, algorithm=118, method=convex, horizon=5,
hardware=rochester-1, diff=0.17592, prob=0.64379, baseline_prob=0.46787, algorithm=182, method=convex, horizon=5,
hardware=manhattan-0, diff=0.17415, prob=0.64259, baseline_prob=0.46844, algorithm=335, method=convex, horizon=5,
hardware=cambridge-1, diff=0.17083, prob=0.66206, baseline_prob=0.49123, algorithm=167, method=convex, horizon=5,
hardware=kawasaki-1, diff=0.14558, prob=0.74859, baseline_prob=0.60301, algorithm=266, method=convex, horizon=5,
hardware=washington-0, diff=0.14356, prob=0.7546, baseline_prob=0.61104, algorithm=489, method=convex, horizon=5,
hardware=yorktown-1, diff=0.12996, prob=0.79307, baseline_prob=0.66311, algorithm=503, method=convex, horizon=5,
