------ Experiment.bell_state_reach ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  45
count embeddings (convex):  136
total diff. algorithms (convex):  48
accuracy perfect hardware (convex): -0.0, 0.5, 1.0, 1.0, 1.0, 1.0

num. algorithms per horizon (method=convex)
1 :  1
2 :  1
3 :  1
4 :  15
5 :  15
6 :  15
--


number of improvements per horizon:
--> horizon 1: 0 
--> horizon 2: 0 
--> horizon 3: 0 
--> horizon 4: 135 
--> horizon 5: 13 
--> horizon 6: 135 


Improvements with respect to perfect algorithms per horizon
Horizon = 4
hardware=valencia-1, diff=0.02265, prob=0.96816, baseline_prob=0.94551, algorithm=7, method=convex, horizon=4,
hardware=rome-0, diff=0.02085, prob=0.97428, baseline_prob=0.95343, algorithm=7, method=convex, horizon=4,
hardware=poughkeepsie-1, diff=0.02039, prob=0.97103, baseline_prob=0.95064, algorithm=7, method=convex, horizon=4,
hardware=belem-1, diff=0.02003, prob=0.97242, baseline_prob=0.95239, algorithm=7, method=convex, horizon=4,
hardware=belem-2, diff=0.01995, prob=0.96859, baseline_prob=0.94864, algorithm=7, method=convex, horizon=4,
hardware=poughkeepsie-2, diff=0.01948, prob=0.92783, baseline_prob=0.90835, algorithm=7, method=convex, horizon=4,
hardware=perth-1, diff=0.01906, prob=0.97735, baseline_prob=0.95829, algorithm=7, method=convex, horizon=4,
hardware=perth-2, diff=0.01891, prob=0.96941, baseline_prob=0.9505, algorithm=7, method=convex, horizon=4,
hardware=auckland-1, diff=0.01876, prob=0.97742, baseline_prob=0.95866, algorithm=7, method=convex, horizon=4,
hardware=nairobi-1, diff=0.01789, prob=0.97726, baseline_prob=0.95937, algorithm=7, method=convex, horizon=4,
hardware=nairobi-3, diff=0.01781, prob=0.97347, baseline_prob=0.95566, algorithm=7, method=convex, horizon=4,
hardware=santiago-0, diff=0.01762, prob=0.9786, baseline_prob=0.96098, algorithm=7, method=convex, horizon=4,
hardware=johannesburg-0, diff=0.01704, prob=0.97369, baseline_prob=0.95665, algorithm=7, method=convex, horizon=4,
hardware=singapore-1, diff=0.01663, prob=0.97796, baseline_prob=0.96133, algorithm=7, method=convex, horizon=4,
hardware=cambridge-0, diff=0.01656, prob=0.97387, baseline_prob=0.95731, algorithm=7, method=convex, horizon=4,
hardware=johannesburg-2, diff=0.01652, prob=0.94396, baseline_prob=0.92744, algorithm=7, method=convex, horizon=4,
hardware=singapore-3, diff=0.0164, prob=0.96472, baseline_prob=0.94832, algorithm=7, method=convex, horizon=4,
hardware=lagos-1, diff=0.01633, prob=0.97788, baseline_prob=0.96155, algorithm=7, method=convex, horizon=4,
hardware=london-0, diff=0.0163, prob=0.97782, baseline_prob=0.96152, algorithm=7, method=convex, horizon=4,
hardware=lima-1, diff=0.0161, prob=0.97, baseline_prob=0.9539, algorithm=7, method=convex, horizon=4,
hardware=jakarta-0, diff=0.01568, prob=0.98, baseline_prob=0.96432, algorithm=7, method=convex, horizon=4,
hardware=jakarta-1, diff=0.01561, prob=0.9752, baseline_prob=0.95959, algorithm=7, method=convex, horizon=4,
hardware=ourense-1, diff=0.01487, prob=0.97864, baseline_prob=0.96377, algorithm=7, method=convex, horizon=4,
hardware=almaden-0, diff=0.01467, prob=0.97774, baseline_prob=0.96307, algorithm=7, method=convex, horizon=4,
hardware=vigo-1, diff=0.01427, prob=0.97751, baseline_prob=0.96324, algorithm=7, method=convex, horizon=4,
hardware=manila-1, diff=0.01406, prob=0.97644, baseline_prob=0.96238, algorithm=7, method=convex, horizon=4,
hardware=almaden-2, diff=0.01404, prob=0.93588, baseline_prob=0.92184, algorithm=7, method=convex, horizon=4,
hardware=geneva-1, diff=0.01358, prob=0.98381, baseline_prob=0.97023, algorithm=7, method=convex, horizon=4,
hardware=boeblingen-0, diff=0.01297, prob=0.98279, baseline_prob=0.96982, algorithm=7, method=convex, horizon=4,
hardware=mumbai-0, diff=0.01279, prob=0.98393, baseline_prob=0.97114, algorithm=7, method=convex, horizon=4,
hardware=boeblingen-2, diff=0.01278, prob=0.96857, baseline_prob=0.95579, algorithm=7, method=convex, horizon=4,
hardware=mumbai-2, diff=0.01253, prob=0.96449, baseline_prob=0.95196, algorithm=7, method=convex, horizon=4,
hardware=brooklyn-0, diff=0.01229, prob=0.9833, baseline_prob=0.97101, algorithm=7, method=convex, horizon=4,
hardware=brooklyn-2, diff=0.01192, prob=0.9535, baseline_prob=0.94158, algorithm=7, method=convex, horizon=4,
hardware=guadalupe-1, diff=0.01044, prob=0.98494, baseline_prob=0.9745, algorithm=7, method=convex, horizon=4,
hardware=guadalupe-3, diff=0.01035, prob=0.97628, baseline_prob=0.96593, algorithm=7, method=convex, horizon=4,
hardware=athens-0, diff=0.00995, prob=0.98465, baseline_prob=0.9747, algorithm=7, method=convex, horizon=4,
hardware=athens-1, diff=0.00983, prob=0.97313, baseline_prob=0.9633, algorithm=7, method=convex, horizon=4,
hardware=rochester-0, diff=0.00978, prob=0.97738, baseline_prob=0.9676, algorithm=7, method=convex, horizon=4,
hardware=santiago-1, diff=0.00946, prob=0.98585, baseline_prob=0.97639, algorithm=7, method=convex, horizon=4,
hardware=sydney-0, diff=0.00918, prob=0.98702, baseline_prob=0.97784, algorithm=7, method=convex, horizon=4,
hardware=sydney-2, diff=0.00828, prob=0.89026, baseline_prob=0.88198, algorithm=7, method=convex, horizon=4,
hardware=toronto-1, diff=0.00771, prob=0.98842, baseline_prob=0.98071, algorithm=7, method=convex, horizon=4,
hardware=oslo-0, diff=0.00761, prob=0.9879, baseline_prob=0.98029, algorithm=7, method=convex, horizon=4,
hardware=oslo-2, diff=0.00759, prob=0.98602, baseline_prob=0.97843, algorithm=7, method=convex, horizon=4,
hardware=toronto-3, diff=0.00708, prob=0.90756, baseline_prob=0.90048, algorithm=7, method=convex, horizon=4,
hardware=montreal-0, diff=0.00702, prob=0.9892, baseline_prob=0.98218, algorithm=7, method=convex, horizon=4,
hardware=montreal-2, diff=0.00692, prob=0.97445, baseline_prob=0.96753, algorithm=7, method=convex, horizon=4,
hardware=paris-1, diff=0.00682, prob=0.98807, baseline_prob=0.98125, algorithm=7, method=convex, horizon=4,
hardware=paris-3, diff=0.00656, prob=0.94991, baseline_prob=0.94335, algorithm=7, method=convex, horizon=4,
hardware=manhattan-1, diff=0.00623, prob=0.98876, baseline_prob=0.98253, algorithm=7, method=convex, horizon=4,
hardware=hanoi-0, diff=0.00546, prob=0.99199, baseline_prob=0.98653, algorithm=7, method=convex, horizon=4,
hardware=auckland-0, diff=0.00545, prob=0.99108, baseline_prob=0.98563, algorithm=7, method=convex, horizon=4,
hardware=auckland-2, diff=0.00538, prob=0.97901, baseline_prob=0.97363, algorithm=7, method=convex, horizon=4,
hardware=cairo-0, diff=0.00506, prob=0.99204, baseline_prob=0.98698, algorithm=7, method=convex, horizon=4,
hardware=cairo-2, diff=0.00497, prob=0.97413, baseline_prob=0.96916, algorithm=7, method=convex, horizon=4,
hardware=kolkata-1, diff=0.00486, prob=0.99178, baseline_prob=0.98692, algorithm=7, method=convex, horizon=4,
hardware=algiers-0, diff=0.00476, prob=0.9922, baseline_prob=0.98744, algorithm=7, method=convex, horizon=4,
hardware=kolkata-2, diff=0.00467, prob=0.95344, baseline_prob=0.94877, algorithm=42, method=convex, horizon=4,
hardware=washington-1, diff=0.00279, prob=0.99372, baseline_prob=0.99093, algorithm=7, method=convex, horizon=4,

Horizon = 6
