------ Experiment.basic_zero_plus_discr ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  55
count embeddings (convex):  109
total diff. algorithms (convex):  483
accuracy perfect hardware (convex): 0.66667, 0.66667, 0.75, 0.75, 0.75, 0.75

num. algorithms per horizon (method=convex)
1 :  89
2 :  102
3 :  88
4 :  89
5 :  55
6 :  60
--


number of improvements per horizon:
--> horizon 1: 108 
--> horizon 2: 108 
--> horizon 3: 108 
--> horizon 4: 108 
--> horizon 5: 108 
--> horizon 6: 108 


Improvements with respect to perfect algorithms per horizon
Horizon = 1
hardware=london-1, diff=0.00736, prob=0.66292, baseline_prob=0.65556, algorithm=223, method=convex, horizon=1,
hardware=lima-0, diff=0.00734, prob=0.66294, baseline_prob=0.6556, algorithm=223, method=convex, horizon=1,
hardware=jakarta-0, diff=0.00707, prob=0.66307, baseline_prob=0.656, algorithm=24, method=convex, horizon=1,
hardware=ourense-0, diff=0.00672, prob=0.66325, baseline_prob=0.65653, algorithm=35, method=convex, horizon=1,
hardware=almaden-0, diff=0.00663, prob=0.6633, baseline_prob=0.65667, algorithm=35, method=convex, horizon=1,
hardware=vigo-1, diff=0.00646, prob=0.66339, baseline_prob=0.65693, algorithm=136, method=convex, horizon=1,
hardware=manila-1, diff=0.00637, prob=0.66344, baseline_prob=0.65707, algorithm=136, method=convex, horizon=1,
hardware=casablanca-0, diff=0.00637, prob=0.66344, baseline_prob=0.65707, algorithm=136, method=convex, horizon=1,
hardware=geneva-1, diff=0.0061, prob=0.66357, baseline_prob=0.65747, algorithm=251, method=convex, horizon=1,
hardware=boeblingen-0, diff=0.00584, prob=0.66371, baseline_prob=0.65787, algorithm=227, method=convex, horizon=1,
hardware=mumbai-0, diff=0.00575, prob=0.66375, baseline_prob=0.658, algorithm=227, method=convex, horizon=1,
hardware=brooklyn-0, diff=0.00554, prob=0.66387, baseline_prob=0.65833, algorithm=187, method=convex, horizon=1,
hardware=guadalupe-1, diff=0.00469, prob=0.66429, baseline_prob=0.6596, algorithm=214, method=convex, horizon=1,
hardware=athens-0, diff=0.00448, prob=0.66441, baseline_prob=0.65993, algorithm=66, method=convex, horizon=1,
hardware=rochester-0, diff=0.00443, prob=0.66443, baseline_prob=0.66, algorithm=66, method=convex, horizon=1,
hardware=santiago-1, diff=0.00425, prob=0.66452, baseline_prob=0.66027, algorithm=346, method=convex, horizon=1,
hardware=sydney-0, diff=0.00412, prob=0.66459, baseline_prob=0.66047, algorithm=355, method=convex, horizon=1,
hardware=toronto-1, diff=0.00345, prob=0.66492, baseline_prob=0.66147, algorithm=321, method=convex, horizon=1,
hardware=oslo-0, diff=0.00342, prob=0.66495, baseline_prob=0.66153, algorithm=321, method=convex, horizon=1,
hardware=cusco-0, diff=0.00325, prob=0.66503, baseline_prob=0.66178, algorithm=109, method=convex, horizon=1,
hardware=prague-1, diff=0.00324, prob=0.66504, baseline_prob=0.6618, algorithm=109, method=convex, horizon=1,
hardware=montreal-0, diff=0.00315, prob=0.66508, baseline_prob=0.66193, algorithm=109, method=convex, horizon=1,
hardware=paris-1, diff=0.00306, prob=0.66513, baseline_prob=0.66207, algorithm=432, method=convex, horizon=1,
hardware=manhattan-1, diff=0.00279, prob=0.66526, baseline_prob=0.66247, algorithm=273, method=convex, horizon=1,
hardware=brisbane-1, diff=0.00249, prob=0.66541, baseline_prob=0.66292, algorithm=12, method=convex, horizon=1,
hardware=hanoi-0, diff=0.00244, prob=0.66544, baseline_prob=0.663, algorithm=12, method=convex, horizon=1,
hardware=auckland-0, diff=0.00244, prob=0.66544, baseline_prob=0.663, algorithm=12, method=convex, horizon=1,
hardware=torino-0, diff=0.00227, prob=0.66552, baseline_prob=0.66325, algorithm=158, method=convex, horizon=1,
hardware=cairo-0, diff=0.00226, prob=0.66553, baseline_prob=0.66327, algorithm=158, method=convex, horizon=1,
hardware=kolkata-1, diff=0.00217, prob=0.66557, baseline_prob=0.6634, algorithm=443, method=convex, horizon=1,
hardware=algiers-0, diff=0.00213, prob=0.6656, baseline_prob=0.66347, algorithm=443, method=convex, horizon=1,
hardware=kyoto-0, diff=0.00191, prob=0.66571, baseline_prob=0.6638, algorithm=456, method=convex, horizon=1,
hardware=osaka-1, diff=0.00159, prob=0.66586, baseline_prob=0.66427, algorithm=386, method=convex, horizon=1,
hardware=kawasaki-0, diff=0.00152, prob=0.66591, baseline_prob=0.66439, algorithm=386, method=convex, horizon=1,
hardware=washington-1, diff=0.00124, prob=0.66604, baseline_prob=0.6648, algorithm=50, method=convex, horizon=1,
hardware=makarresh-0, diff=0.00119, prob=0.66607, baseline_prob=0.66488, algorithm=50, method=convex, horizon=1,
hardware=kyiv-0, diff=0.00076, prob=0.66629, baseline_prob=0.66553, algorithm=93, method=convex, horizon=1,
hardware=fez-0, diff=0.00065, prob=0.66634, baseline_prob=0.66569, algorithm=198, method=convex, horizon=1,

Horizon = 2
hardware=torino-1, diff=0.24214, prob=0.53202, baseline_prob=0.28988, algorithm=162, method=convex, horizon=2,
hardware=cusco-1, diff=0.16895, prob=0.50098, baseline_prob=0.33203, algorithm=304, method=convex, horizon=2,
hardware=kyiv-1, diff=0.16614, prob=0.50159, baseline_prob=0.33545, algorithm=98, method=convex, horizon=2,
hardware=makarresh-1, diff=0.16231, prob=0.51306, baseline_prob=0.35075, algorithm=262, method=convex, horizon=2,
hardware=lagos-0, diff=0.16063, prob=0.5181, baseline_prob=0.35747, algorithm=310, method=convex, horizon=2,
hardware=osaka-0, diff=0.15645, prob=0.53065, baseline_prob=0.3742, algorithm=413, method=convex, horizon=2,
hardware=kyoto-1, diff=0.15342, prob=0.53975, baseline_prob=0.38633, algorithm=461, method=convex, horizon=2,
hardware=manhattan-0, diff=0.15062, prob=0.54815, baseline_prob=0.39753, algorithm=268, method=convex, horizon=2,
hardware=rochester-1, diff=0.15042, prob=0.54875, baseline_prob=0.39833, algorithm=153, method=convex, horizon=2,
hardware=cambridge-1, diff=0.14833, prob=0.555, baseline_prob=0.40667, algorithm=7, method=convex, horizon=2,
hardware=kawasaki-1, diff=0.1379, prob=0.5863, baseline_prob=0.4484, algorithm=391, method=convex, horizon=2,
