hardware,embedding_index,horizon,method,time,result,threshold
bogota,0,2,convex,0.015800,1,0.496130
bogota,0,3,bellman,0.010360,1,0.936990
bogota,0,3,convex,0.012290,1,0.936990
bogota,0,4,bellman,0.017080,1,0.947610
bogota,0,4,convex,0.056450,1,0.936990
bogota,0,5,bellman,0.033720,1,0.984070
bogota,0,5,convex,0.042300,1,0.984070
bogota,0,6,bellman,0.058120,1,0.985770
bogota,0,6,convex,0.173890,1,0.984070
bogota,1,1,bellman,0.004000,1,0.568800
bogota,1,1,convex,0.004270,1,0.000000
bogota,1,2,bellman,0.005090,1,0.568800
bogota,1,2,convex,0.015610,1,0.473830
bogota,1,3,bellman,0.010290,1,0.922930
bogota,1,3,convex,0.012260,1,0.922930
bogota,1,4,bellman,0.016460,1,0.927940
bogota,1,4,convex,0.056300,1,0.922930
bogota,1,5,bellman,0.033350,1,0.946610
bogota,1,5,convex,0.042040,1,0.946610
bogota,1,6,bellman,0.057530,1,0.947010
bogota,1,6,convex,0.172140,1,0.946610
brooklyn,0,1,bellman,0.006790,1,0.596450
brooklyn,0,1,convex,0.007200,1,0.000000
brooklyn,0,2,bellman,0.008350,1,0.596450
brooklyn,0,2,convex,0.023320,1,0.496870
brooklyn,0,3,bellman,0.016470,1,0.982300
brooklyn,0,3,convex,0.019920,1,0.982300
brooklyn,0,4,bellman,0.027210,1,0.984760
brooklyn,0,4,convex,0.083680,1,0.982300
brooklyn,0,5,bellman,0.052650,1,0.994280
brooklyn,0,5,convex,0.069320,1,0.994280
brooklyn,0,6,bellman,0.091830,1,0.994380
brooklyn,0,6,convex,0.273070,1,0.994280
brooklyn,1,1,bellman,0.008780,1,0.596450
brooklyn,1,1,convex,0.008980,1,0.000000
brooklyn,1,2,bellman,0.010280,1,0.596450
brooklyn,1,2,convex,0.027340,1,0.496870
brooklyn,1,3,bellman,0.019840,1,0.908320
brooklyn,1,3,convex,0.023880,1,0.908320
brooklyn,1,4,bellman,0.033720,1,0.924100
brooklyn,1,4,convex,0.099410,1,0.908320
brooklyn,1,5,bellman,0.064080,1,0.973540
brooklyn,1,5,convex,0.085590,1,0.973540
brooklyn,1,6,bellman,0.112370,1,0.977300
brooklyn,1,6,convex,0.327490,1,0.973540
brooklyn,2,1,bellman,0.006620,1,0.578340
brooklyn,2,1,convex,0.006860,1,0.000000
brooklyn,2,2,bellman,0.008270,1,0.578340
brooklyn,2,2,convex,0.021390,1,0.481780
brooklyn,2,3,bellman,0.014970,1,0.952500
brooklyn,2,3,convex,0.017620,1,0.952500
brooklyn,2,4,bellman,0.025320,1,0.954880
brooklyn,2,4,convex,0.077210,1,0.952500
brooklyn,2,5,bellman,0.048480,1,0.964120
brooklyn,2,5,convex,0.062980,1,0.964120
brooklyn,2,6,bellman,0.084650,1,0.964210
brooklyn,2,6,convex,0.247230,1,0.964120
brooklyn,3,1,bellman,0.008400,1,0.578340
brooklyn,3,1,convex,0.008680,1,0.000000
brooklyn,3,2,bellman,0.009990,1,0.578340
brooklyn,3,2,convex,0.025360,1,0.481780
brooklyn,3,3,bellman,0.018640,1,0.880760
brooklyn,3,3,convex,0.022070,1,0.880760
brooklyn,3,4,bellman,0.031840,1,0.896060
brooklyn,3,4,convex,0.092690,1,0.880760
brooklyn,3,5,bellman,0.059660,1,0.944010
brooklyn,3,5,convex,0.079060,1,0.944010
brooklyn,3,6,bellman,0.107720,1,0.947650
brooklyn,3,6,convex,0.304900,1,0.944010
burlington,0,1,bellman,0.003800,1,0.589010
burlington,0,1,convex,0.004100,1,0.000000
burlington,0,2,bellman,0.004960,1,0.589010
burlington,0,2,convex,0.014130,1,0.490680
burlington,0,3,bellman,0.009110,1,0.958270
burlington,0,3,convex,0.010990,1,0.958270
burlington,0,4,bellman,0.013800,1,0.962970
burlington,0,4,convex,0.050010,1,0.958270
burlington,0,5,bellman,0.028880,1,0.980620
burlington,0,5,convex,0.035780,1,0.980620
burlington,0,6,bellman,0.047980,1,0.980950
burlington,0,6,convex,0.146490,1,0.980620
cairo,0,1,bellman,0.005860,1,0.597280
cairo,0,1,convex,0.006100,1,0.000000
cairo,0,2,bellman,0.007100,1,0.597280
cairo,0,2,convex,0.021950,1,0.497560
cairo,0,3,bellman,0.015100,1,0.991040
cairo,0,3,convex,0.018560,1,0.991040
cairo,0,4,bellman,0.024420,1,0.992050
cairo,0,4,convex,0.078440,1,0.991040
cairo,0,5,bellman,0.048010,1,0.996050
cairo,0,5,convex,0.063990,1,0.996050
cairo,0,6,bellman,0.082960,1,0.996060
cairo,0,6,convex,0.249820,1,0.996050
cairo,1,1,bellman,0.007020,1,0.597280
cairo,1,1,convex,0.007350,1,0.000000
cairo,1,2,bellman,0.008410,1,0.597280
cairo,1,2,convex,0.024580,1,0.497560
cairo,1,3,bellman,0.017310,1,0.847350
cairo,1,3,convex,0.021230,1,0.847350
cairo,1,4,bellman,0.028870,1,0.872670
cairo,1,4,convex,0.089740,1,0.847350
cairo,1,5,bellman,0.055670,1,0.936160
cairo,1,5,convex,0.074640,1,0.936160
cairo,1,6,bellman,0.096830,1,0.945800
cairo,1,6,convex,0.288530,1,0.936160
cairo,2,1,bellman,0.007230,1,0.586470
cairo,2,1,convex,0.007420,1,0.000000
cairo,2,2,bellman,0.008650,1,0.586470
cairo,2,2,convex,0.026090,1,0.488560
cairo,2,3,bellman,0.018380,1,0.973130
cairo,2,3,convex,0.022890,1,0.973130
cairo,2,4,bellman,0.029940,1,0.974120
cairo,2,4,convex,0.094370,1,0.973130
cairo,2,5,bellman,0.059070,1,0.978050
