hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
burlington,0,bellman,7,5,500,0.999850,0.999550,0.000300
burlington,0,bellman,8,6,501,0.999950,0.999680,0.000270
burlington,1,bellman,2,0,490,0.950970,0.950970,0.000000
burlington,1,bellman,3,1,492,0.950970,0.950970,0.000000
burlington,1,bellman,4,2,494,0.992590,0.992590,0.000000
burlington,1,bellman,5,3,496,0.993070,0.992590,0.000480
burlington,1,bellman,6,7,498,0.998350,0.998350,0.000000
burlington,1,bellman,7,5,500,0.998900,0.998350,0.000550
burlington,1,bellman,8,8,501,0.999630,0.999240,0.000390
cairo,0,bellman,2,0,490,0.994770,0.994770,0.000000
cairo,0,bellman,3,1,492,0.994770,0.994770,0.000000
cairo,0,bellman,4,2,494,0.999790,0.999790,0.000000
cairo,0,bellman,5,3,496,0.999920,0.999790,0.000130
cairo,0,bellman,6,4,498,0.999980,0.999870,0.000110
cairo,0,bellman,7,5,500,1.000000,0.999870,0.000130
cairo,0,bellman,8,6,501,1.000000,0.999870,0.000130
cairo,1,bellman,2,0,490,0.848320,0.848320,-0.000000
cairo,1,bellman,3,1,492,0.848320,0.848320,-0.000000
cairo,1,bellman,4,2,494,0.936750,0.936750,-0.000000
cairo,1,bellman,5,3,496,0.938590,0.936750,0.001840
cairo,1,bellman,6,7,498,0.970430,0.970430,0.000000
cairo,1,bellman,7,5,500,0.972880,0.970430,0.002450
cairo,1,bellman,8,8,501,0.985300,0.984680,0.000620
cambridge,0,bellman,2,0,490,0.982560,0.982560,-0.000000
cambridge,0,bellman,3,1,492,0.982560,0.982560,-0.000000
cambridge,0,bellman,4,2,494,0.998690,0.998690,-0.000000
cambridge,0,bellman,5,3,496,0.999110,0.998690,0.000420
cambridge,0,bellman,6,4,498,0.999790,0.999500,0.000290
cambridge,0,bellman,7,5,500,0.999940,0.999500,0.000440
cambridge,0,bellman,8,6,501,0.999980,0.999550,0.000430
cambridge,1,bellman,2,0,490,0.609710,0.609710,0.000000
cambridge,1,bellman,3,1,492,0.609710,0.609710,0.000000
cambridge,1,bellman,4,2,494,0.661900,0.661900,-0.000000
cambridge,1,bellman,5,3,496,0.662060,0.661900,0.000160
cambridge,1,bellman,6,7,498,0.699160,0.699160,0.000000
cambridge,1,bellman,7,5,500,0.699390,0.699160,0.000230
cambridge,1,bellman,8,9,501,0.728700,0.728700,0.000000
casablanca,0,bellman,2,0,490,0.985160,0.985160,-0.000000
casablanca,0,bellman,3,1,492,0.985160,0.985160,-0.000000
casablanca,0,bellman,4,2,494,0.998940,0.998940,0.000000
casablanca,0,bellman,5,3,496,0.999360,0.998940,0.000420
casablanca,0,bellman,6,4,498,0.999850,0.999520,0.000330
casablanca,0,bellman,7,5,500,0.999960,0.999520,0.000440
casablanca,0,bellman,8,6,501,0.999990,0.999550,0.000440
casablanca,1,bellman,2,0,490,0.967180,0.967180,-0.000000
casablanca,1,bellman,3,1,492,0.967180,0.967180,-0.000000
casablanca,1,bellman,4,2,494,0.996650,0.996650,-0.000000
casablanca,1,bellman,5,3,496,0.996850,0.996650,0.000200
casablanca,1,bellman,6,7,498,0.999440,0.999440,0.000000
casablanca,1,bellman,7,5,500,0.999660,0.999440,0.000220
casablanca,1,bellman,8,8,501,0.999910,0.999730,0.000180
cusco,0,bellman,2,0,490,0.992580,0.992580,-0.000000
cusco,0,bellman,3,1,492,0.992580,0.992580,-0.000000
cusco,0,bellman,4,2,494,0.999740,0.999740,-0.000000
cusco,0,bellman,5,3,496,0.999840,0.999740,0.000100
cusco,0,bellman,6,4,498,0.999970,0.999900,0.000070
cusco,0,bellman,7,5,500,1.000000,0.999900,0.000100
cusco,0,bellman,8,6,501,1.000000,0.999900,0.000100
cusco,1,bellman,2,12,490,0.501950,0.498050,0.003900
cusco,1,bellman,3,13,492,0.501950,0.498050,0.003900
cusco,1,bellman,4,14,494,0.502930,0.497070,0.005860
cusco,1,bellman,5,15,496,0.502930,0.497070,0.005860
cusco,1,bellman,6,16,498,0.503660,0.496340,0.007320
cusco,1,bellman,7,17,500,0.503660,0.496340,0.007320
cusco,1,bellman,8,18,501,0.504270,0.495730,0.008540
essex,0,bellman,2,0,490,0.968560,0.968560,0.000000
essex,0,bellman,3,1,492,0.968560,0.968560,0.000000
essex,0,bellman,4,2,494,0.996450,0.996450,0.000000
essex,0,bellman,5,3,496,0.997140,0.996450,0.000690
essex,0,bellman,6,4,498,0.999220,0.998940,0.000280
essex,0,bellman,7,5,500,0.999690,0.998940,0.000750
essex,0,bellman,8,6,501,0.999880,0.999180,0.000700
essex,1,bellman,2,0,490,0.943380,0.943380,0.000000
essex,1,bellman,3,1,492,0.943380,0.943380,0.000000
essex,1,bellman,4,2,494,0.990100,0.990100,0.000000
essex,1,bellman,5,3,496,0.990830,0.990100,0.000730
essex,1,bellman,6,7,498,0.997480,0.997480,-0.000000
essex,1,bellman,7,5,500,0.998330,0.997480,0.000850
essex,1,bellman,8,8,501,0.999370,0.998780,0.000590
fez,0,bellman,2,0,490,0.998430,0.998430,0.000000
fez,0,bellman,3,1,492,0.998430,0.998430,0.000000
fez,0,bellman,4,2,494,0.999890,0.999890,0.000000
fez,0,bellman,5,3,496,0.999990,0.999890,0.000100
fez,0,bellman,6,4,498,1.000000,0.999890,0.000110
fez,0,bellman,7,5,500,1.000000,0.999890,0.000110
fez,0,bellman,8,11,501,1.000000,0.999890,0.000110
fez,1,bellman,2,0,490,0.893930,0.893930,0.000000
fez,1,bellman,3,1,492,0.893930,0.893930,0.000000
fez,1,bellman,4,2,494,0.968560,0.968560,0.000000
fez,1,bellman,5,3,496,0.968650,0.968560,0.000090
fez,1,bellman,6,7,498,0.989770,0.989770,0.000000
fez,1,bellman,7,5,500,0.989890,0.989770,0.000120
fez,1,bellman,8,9,501,0.996470,0.996470,0.000000
geneva,0,bellman,2,0,490,0.858470,0.858470,0.000000
geneva,0,bellman,3,1,492,0.858470,0.858470,0.000000
geneva,0,bellman,4,2,494,0.945510,0.945510,0.000000
geneva,0,bellman,5,3,496,0.945610,0.945510,0.000100
geneva,0,bellman,6,7,498,0.977210,0.977210,0.000000
geneva,0,bellman,7,5,500,0.977340,0.977210,0.000130
geneva,0,bellman,8,9,501,0.990040,0.990040,0.000000
geneva,1,bellman,2,0,490,0.985860,0.985860,-0.000000
geneva,1,bellman,3,1,492,0.985860,0.985860,-0.000000
geneva,1,bellman,4,2,494,0.999090,0.999090,0.000000
geneva,1,bellman,5,3,496,0.999420,0.999090,0.000330
geneva,1,bellman,6,4,498,0.999870,0.999630,0.000240
geneva,1,bellman,7,5,500,0.999970,0.999630,0.000340
geneva,1,bellman,8,6,501,0.999990,0.999650,0.000340
guadalupe,0,bellman,2,0,490,0.939320,0.939320,-0.000000
guadalupe,0,bellman,3,1,492,0.939320,0.939320,-0.000000
guadalupe,0,bellman,4,2,494,0.989270,0.989270,0.000000
guadalupe,0,bellman,5,3,496,0.989420,0.989270,0.000150
guadalupe,0,bellman,6,7,498,0.997780,0.997780,-0.000000
guadalupe,0,bellman,7,5,500,0.997960,0.997780,0.000180
