hardware,embedding_index,horizon,method,time,result,threshold
brooklyn,2,5,bellman,0.049840,1,0.863900
brooklyn,2,6,bellman,0.069980,1,0.921740
brooklyn,2,7,bellman,0.098020,1,0.921740
guadalupe,0,3,bellman,0.018670,1,0.499000
guadalupe,0,4,bellman,0.022640,1,0.927820
guadalupe,0,5,bellman,0.023720,1,0.927820
guadalupe,0,6,bellman,0.039270,1,0.976560
guadalupe,0,7,bellman,0.040700,1,0.976560
guadalupe,1,3,bellman,0.019100,1,0.499000
guadalupe,1,4,bellman,0.023230,1,0.925640
guadalupe,1,5,bellman,0.024240,1,0.925640
guadalupe,1,6,bellman,0.041890,1,0.974140
guadalupe,1,7,bellman,0.042520,1,0.974140
guadalupe,2,3,bellman,0.004880,1,0.499000
guadalupe,2,4,bellman,0.026450,1,0.974710
guadalupe,2,5,bellman,0.027430,1,0.974710
guadalupe,2,6,bellman,0.044320,1,0.985710
guadalupe,2,7,bellman,0.045780,1,0.985710
almaden,0,3,bellman,0.019110,1,0.499000
almaden,0,4,bellman,0.023350,1,0.751480
almaden,0,5,bellman,0.024590,1,0.751480
almaden,0,6,bellman,0.040410,1,0.840000
almaden,0,7,bellman,0.042160,1,0.840000
almaden,1,3,bellman,0.032210,1,0.499000
almaden,1,4,bellman,0.020850,1,0.742900
almaden,1,5,bellman,0.026170,1,0.742900
almaden,1,6,bellman,0.037140,1,0.828400
almaden,1,7,bellman,0.059730,1,0.828400
almaden,2,3,bellman,0.020330,1,0.499000
almaden,2,4,bellman,0.024560,1,0.960670
almaden,2,5,bellman,0.026000,1,0.960670
almaden,2,6,bellman,0.042460,1,0.977290
almaden,2,7,bellman,0.044300,1,0.977290
manhattan,0,3,bellman,0.007570,1,0.499000
manhattan,0,4,bellman,0.060860,1,0.499430
manhattan,0,5,bellman,0.068730,1,0.499430
manhattan,0,6,bellman,0.092440,1,0.499630
manhattan,0,7,bellman,0.130430,1,0.499630
manhattan,1,3,bellman,0.010300,1,0.499000
manhattan,1,4,bellman,0.059840,1,0.499430
manhattan,1,5,bellman,0.062920,1,0.499430
manhattan,1,6,bellman,0.090890,1,0.499630
manhattan,1,7,bellman,0.094210,1,0.499630
manhattan,2,3,bellman,0.007770,1,0.499000
manhattan,2,4,bellman,0.065300,1,0.974730
manhattan,2,5,bellman,0.073310,1,0.974730
manhattan,2,6,bellman,0.097610,1,0.980690
manhattan,2,7,bellman,0.136420,1,0.980690
valencia,0,3,bellman,0.012510,1,0.499000
valencia,0,4,bellman,0.015730,1,0.964200
valencia,0,5,bellman,0.016440,1,0.964200
valencia,0,6,bellman,0.029950,1,0.985460
valencia,0,7,bellman,0.031110,1,0.985460
valencia,1,3,bellman,0.023940,1,0.499000
valencia,1,4,bellman,0.016010,1,0.961960
valencia,1,5,bellman,0.020950,1,0.961960
valencia,1,6,bellman,0.030360,1,0.983120
valencia,1,7,bellman,0.051260,1,0.983120
valencia,2,3,bellman,0.025270,1,0.499000
valencia,2,4,bellman,0.016840,1,0.954070
valencia,2,5,bellman,0.022030,1,0.954070
valencia,2,6,bellman,0.031780,1,0.980810
valencia,2,7,bellman,0.052810,1,0.980810
boeblingen,0,3,bellman,0.017360,1,0.499000
boeblingen,0,4,bellman,0.022610,1,0.956260
boeblingen,0,5,bellman,0.022510,1,0.956260
boeblingen,0,6,bellman,0.038000,1,0.972250
boeblingen,0,7,bellman,0.039540,1,0.972250
boeblingen,1,3,bellman,0.004680,1,0.499000
boeblingen,1,4,bellman,0.023090,1,0.853390
boeblingen,1,5,bellman,0.028630,1,0.853390
boeblingen,1,6,bellman,0.040200,1,0.932660
boeblingen,1,7,bellman,0.063470,1,0.932660
bogota,0,3,bellman,0.002950,1,0.499000
bogota,0,4,bellman,0.015140,1,0.954350
bogota,0,5,bellman,0.015980,1,0.954350
bogota,0,6,bellman,0.029080,1,0.978360
bogota,0,7,bellman,0.030000,1,0.978360
bogota,1,3,bellman,0.004250,1,0.499000
bogota,1,4,bellman,0.016120,1,0.913290
bogota,1,5,bellman,0.021110,1,0.913290
bogota,1,6,bellman,0.030300,1,0.940420
bogota,1,7,bellman,0.051020,1,0.940420
bogota,2,3,bellman,0.003180,1,0.499000
bogota,2,4,bellman,0.017320,1,0.892170
bogota,2,5,bellman,0.018130,1,0.892170
bogota,2,6,bellman,0.031740,1,0.934160
bogota,2,7,bellman,0.032830,1,0.934160
santiago,0,3,bellman,0.022680,1,0.499000
santiago,0,4,bellman,0.015000,1,0.976000
santiago,0,5,bellman,0.019970,1,0.976000
santiago,0,6,bellman,0.028900,1,0.989540
santiago,0,7,bellman,0.049700,1,0.989540
santiago,1,3,bellman,0.012560,1,0.499000
