benchmark,horizon,total_time,useful_gaps,times
iff_2_3_0_2,5,timeout,0.274026/1.631319/10.335019,286.240798/159.607277/29.65847
iff_2_3_0_2,6,timeout,0.283859/1.631274/10.335019,260.947321/166.078665/35.601055
iff_2_3_0_4,2,136.696771,1.939408/10.335019,74.241271/11.72567
iff_2_3_0_4,3,timeout,0.293408/1.884998/10.335019,207.000162/112.703548/17.591871
iff_2_3_0_4,4,timeout,0.245361/0.283536/1.801674/10.335019,400.729476/275.260925/150.027988/23.365801
iff_2_3_0_4,5,timeout,0.274026/1.631319/10.335019,283.948861/158.464371/29.625754
iff_2_3_0_4,6,timeout,0.283859/1.631274/10.335019,259.304075/164.947204/35.405053
iff_2_3_2_0,2,138.915399,1.939408/10.335019,75.681753/11.963679
iff_2_3_2_0,3,timeout,0.318409/1.884998/10.335019,211.942822/115.205659/18.052294
iff_2_3_2_0,4,timeout,0.274243/0.305782/1.801674/10.335019,409.427494/281.320625/153.524426/24.174249
iff_2_3_2_0,5,timeout,0.306825/0.307405/1.650738/10.335019,451.002362/322.661713/194.726674/30.014687
iff_2_3_2_0,6,timeout,0.294539/0.305259/1.631694/10.335019,361.6288/265.162844/168.737673/35.979194
iff_2_3_2_4,2,142.687529,0.383022/10.335019,77.552645/11.985888
iff_2_3_2_4,3,error,0.044519/0.280943/0.317788/10.335019,504.559813/407.277901/115.656604/17.916342
iff_2_3_2_4,4,timeout,0.005215/0.00579/0.041855/0.362956/10.335019,540.656027/411.262733/282.378471/153.316284/23.988811
iff_2_3_2_4,5,timeout,0.033362/0.360447/10.335019,321.565696/160.516355/30.261006
iff_2_3_2_4,6,timeout,0.004699/0.005279/0.005699/0.006159/0.044894/0.36543/10.335019,982.385689/820.318127/689.00884/559.359959/398.010023/237.51286/35.970266
iff_2_3_4_0,2,138.79073,1.939408/10.335019,75.577512/11.969358
iff_2_3_4_0,3,timeout,0.319778/1.884998/10.335019,210.292622/114.124223/17.86182
iff_2_3_4_0,4,timeout,0.275622/0.307001/1.801674/10.335019,408.491556/280.316039/152.52919/23.982122
iff_2_3_4_0,5,timeout,0.307265/0.307885/1.799511/10.335019,414.838747/286.888755/159.32949/29.811451
iff_2_3_4_0,6,timeout,0.308439/1.782093/10.335019,230.064947/134.438962/36.041919
iff_2_3_4_2,2,139.109953,1.939408/10.335019,75.688371/11.914726
iff_2_3_4_2,3,timeout,0.319778/1.884998/10.335019,210.793983/114.750093/17.852247
iff_2_3_4_2,4,timeout,0.275622/0.307001/1.801674/10.335019,409.50455/281.18696/153.032512/23.946691
iff_2_3_4_2,5,timeout,0.307265/0.307885/1.799511/10.335019,416.466311/287.952489/160.001563/30.061209
iff_2_3_4_2,6,timeout,0.308439/1.782093/10.335019,230.52634/134.488155/35.849211
