,benchmark,horizon,total_time,0.0,6.666667,9.999977,10.0,14.0,15.0,16.666667,16.666637,18.333333,19.375,20.0,30.0
52,RockSample_POMDP_N3_G1_K3_R4_,4,8.897581,8.897581,8.897581,8.897581,8.897581,8.897581,8.897581,8.897581,8.897581,8.897581,8.897581,8.897581,8.897581
53,RockSample_POMDP_N3_G1_K3_R4_,5,timeout,timeout,timeout,timeout,3.174969,3.174969,3.174969,3.174969,3.174969,3.174969,3.174969,3.174969,3.174969
54,RockSample_POMDP_N3_G1_K3_R4_,6,timeout,timeout,timeout,timeout,3.927611,3.927611,3.927611,3.927611,3.927611,3.927611,3.927611,3.927611,3.927611
55,RockSample_POMDP_N3_G1_K3_R4_,7,timeout,timeout,timeout,timeout,4.596648,4.596648,4.596648,4.596648,4.596648,4.596648,4.596648,4.596648,4.596648
56,RockSample_POMDP_N3_G2_K3_R5_,1,3.886289,3.886289,3.886289,3.886289,3.886289,3.886289,3.886289,3.886289,3.886289,3.886289,3.886289,3.886289,3.886289
57,RockSample_POMDP_N3_G2_K3_R5_,2,9.733598,9.733598,9.733598,9.733598,9.733598,9.733598,9.733598,9.733598,9.733598,9.733598,9.733598,9.733598,9.733598
58,RockSample_POMDP_N3_G2_K3_R5_,3,17.537402,17.537402,17.537402,17.537402,17.537402,17.537402,17.537402,17.537402,17.537402,17.537402,17.537402,17.537402,17.537402
59,RockSample_POMDP_N3_G2_K3_R5_,4,timeout,timeout,timeout,timeout,7.764241,7.764241,7.764241,7.764241,7.764241,7.764241,7.764241,7.764241,7.764241
60,RockSample_POMDP_N3_G2_K3_R5_,5,timeout,timeout,timeout,timeout,9.521128,9.521128,9.521128,9.521128,9.521128,9.521128,9.521128,9.521128,9.521128
61,RockSample_POMDP_N3_G2_K3_R5_,6,timeout,timeout,timeout,timeout,11.368181,11.368181,11.368181,11.368181,11.368181,11.368181,11.368181,11.368181,11.368181
62,RockSample_POMDP_N3_G2_K3_R5_,7,timeout,timeout,timeout,timeout,timeout,254.813937,254.813937,202.141953,202.141953,202.141953,202.141953,13.093031,13.093031
63,RockSample_POMDP_N3_G3_K3_R6_,1,4.897675,4.897675,4.897675,4.897675,4.897675,4.897675,4.897675,4.897675,4.897675,4.897675,4.897675,4.897675,4.897675
64,RockSample_POMDP_N3_G3_K3_R6_,2,12.254179,12.254179,12.254179,12.254179,12.254179,12.254179,12.254179,12.254179,12.254179,12.254179,12.254179,12.254179,12.254179
65,RockSample_POMDP_N3_G3_K3_R6_,3,22.130337,22.130337,22.130337,22.130337,22.130337,22.130337,22.130337,22.130337,22.130337,22.130337,22.130337,22.130337,22.130337
66,RockSample_POMDP_N3_G3_K3_R6_,4,timeout,timeout,timeout,timeout,9.762046,9.762046,9.762046,9.762046,9.762046,9.762046,9.762046,9.762046,9.762046
67,RockSample_POMDP_N3_G3_K3_R6_,5,timeout,timeout,timeout,timeout,12.17189,12.17189,12.17189,12.17189,12.17189,12.17189,12.17189,12.17189,12.17189
68,RockSample_POMDP_N3_G3_K3_R6_,6,107.050433,107.050433,107.050433,107.050433,14.699489,14.699489,14.699489,14.699489,14.699489,14.699489,14.699489,14.699489,14.699489
69,RockSample_POMDP_N3_G3_K3_R6_,7,timeout,timeout,timeout,timeout,127.594895,127.594895,127.594895,127.594895,127.594895,127.594895,127.594895,17.281796,17.281796
70,RockSample_POMDP_N3_G2_K5_R7_,1,25.385965,25.385965,25.385965,25.385965,25.385965,25.385965,25.385965,25.385965,25.385965,25.385965,25.385965,25.385965,25.385965
71,RockSample_POMDP_N3_G2_K5_R7_,2,timeout,timeout,timeout,timeout,25.506229,25.506229,25.506229,25.506229,25.506229,25.506229,25.506229,25.506229,25.506229
72,RockSample_POMDP_N3_G2_K5_R7_,3,112.794432,112.794432,112.794432,112.794432,112.794432,112.794432,112.794432,112.794432,112.794432,112.794432,112.794432,112.794432,112.794432
73,RockSample_POMDP_N3_G2_K5_R7_,4,311.487349,311.487349,311.487349,311.487349,49.404631,49.404631,49.404631,49.404631,49.404631,49.404631,49.404631,49.404631,49.404631
74,RockSample_POMDP_N3_G2_K5_R7_,5,timeout,timeout,timeout,timeout,455.943875,455.943875,455.943875,455.943875,455.943875,455.943875,455.943875,61.439948,61.439948
75,RockSample_POMDP_N3_G2_K5_R7_,6,timeout,timeout,timeout,3074.924953,1221.37979,1221.37979,810.414826,810.414826,810.414826,810.414826,810.414826,73.599995,73.599995
76,RockSample_POMDP_N3_G2_K5_R7_,7,timeout,timeout,timeout,timeout,1650.35111,1650.35111,1377.43057,1377.43057,1377.43057,1377.43057,1377.43057,85.375676,85.375676
77,RockSample_POMDP_N3_G3_K5_R8_,1,63.810983,63.810983,63.810983,63.810983,63.810983,63.810983,63.810983,63.810983,63.810983,63.810983,63.810983,63.810983,63.810983
78,RockSample_POMDP_N3_G3_K5_R8_,2,timeout,timeout,timeout,timeout,63.845817,63.845817,63.845817,63.845817,63.845817,63.845817,63.845817,63.845817,63.845817
