benchmark,horizon,time,50,500,1000,2000
iff.POMDP_64_69_1,4,120.587143,102.418827,102.487995,102.401751,102.379503
iff.POMDP_64_69_1,5,3225.006302,3091.839695,3381.993009,3383.026822,3382.031288
iff.POMDP_64_69_1,6,timeout,timeout,timeout,timeout,timeout
iff.POMDP_64_71_2,1,0.002833,0.003835,0.001705,0.001704,0.001687
iff.POMDP_64_71_2,2,0.097456,0.087896,0.087352,0.087419,0.087365
iff.POMDP_64_71_2,3,3.567404,3.206211,3.209027,3.208617,3.218737
iff.POMDP_64_71_2,4,103.652512,88.454822,88.633315,88.597442,88.589046
iff.POMDP_64_71_2,5,2573.852572,2402.160316,2703.436028,2706.28476,2706.373131
iff.POMDP_64_71_2,6,timeout,timeout,timeout,timeout,timeout
iff.POMDP_64_73_5,1,0.002717,0.002679,0.00151,0.001505,0.001582
iff.POMDP_64_73_5,2,0.070986,0.063701,0.06357,0.063601,0.063602
iff.POMDP_64_73_5,3,2.392229,2.104865,2.104416,2.105901,2.11378
iff.POMDP_64_73_5,4,69.361565,59.438374,59.170422,59.457677,59.386451
iff.POMDP_64_73_5,5,1760.895892,1511.523771,1839.127298,1838.543085,1843.93899
iff.POMDP_64_73_5,6,timeout,timeout,timeout,timeout,timeout
iff.POMDP_66_68_1,1,0.002728,0.002757,0.00149,0.001466,0.001452
iff.POMDP_66_68_1,2,0.067611,0.061513,0.061602,0.061522,0.061874
iff.POMDP_66_68_1,3,2.011851,1.828469,1.827813,1.825969,1.827453
iff.POMDP_66_68_1,4,48.955586,42.477801,42.380878,42.382977,42.386162
iff.POMDP_66_68_1,5,1118.590651,937.572767,1031.090847,1155.786762,1156.756529
iff.POMDP_66_68_1,6,timeout,timeout,timeout,timeout,timeout
iff.POMDP_66_71_1,1,0.003268,0.002819,0.001727,0.001716,0.001726
iff.POMDP_66_71_1,2,0.103645,0.090104,0.089805,0.089951,0.090323
iff.POMDP_66_71_1,3,3.577551,3.130715,3.13124,3.129842,3.130532
iff.POMDP_66_71_1,4,93.882228,79.160799,79.41649,79.32357,79.22353
iff.POMDP_66_71_1,5,2213.437259,1998.302563,2307.636223,2312.434826,2309.585608
iff.POMDP_66_71_1,6,timeout,timeout,timeout,timeout,timeout
iff.POMDP_66_73_2,1,0.002742,0.002487,0.001558,0.001547,0.001752
iff.POMDP_66_73_2,2,0.076211,0.066342,0.06624,0.066293,0.066277
iff.POMDP_66_73_2,3,2.341722,2.066703,2.059609,2.058228,2.05691
iff.POMDP_66_73_2,4,58.505777,50.438464,50.436381,50.502058,50.494333
iff.POMDP_66_73_2,5,1391.277708,1170.069878,1380.122244,1442.409466,1444.64521
iff.POMDP_66_73_2,6,timeout,timeout,timeout,timeout,timeout
iff.POMDP_68_73_1,1,0.002926,0.003004,0.001445,0.001449,0.001441
iff.POMDP_68_73_1,2,0.049906,0.043348,0.043217,0.043277,0.043291
iff.POMDP_68_73_1,3,1.396252,1.232077,1.232879,1.232338,1.232324
iff.POMDP_68_73_1,4,35.833213,31.439113,31.481745,31.423378,31.421631
iff.POMDP_68_73_1,5,910.921391,765.134171,768.296894,942.185346,943.061097
iff.POMDP_68_73_1,6,timeout,timeout,timeout,timeout,timeout
iff.POMDP_69_71_1,1,0.002812,0.003422,0.001842,0.00182,0.001786
iff.POMDP_69_71_1,2,0.099233,0.101211,0.098905,0.100521,0.100274
iff.POMDP_69_71_1,3,3.990435,4.109866,4.096158,4.086154,4.103937
iff.POMDP_69_71_1,4,127.151292,125.678998,128.865775,142.13245,141.830979
iff.POMDP_69_71_1,5,3326.66217,timeout,timeout,timeout,timeout
iff.POMDP_69_71_1,6,timeout,timeout,timeout,timeout,timeout
iff.POMDP_69_73_4,1,0.002658,0.009245,0.001898,0.001673,0.001656
iff.POMDP_69_73_4,2,0.072081,0.072148,0.072397,0.072541,0.072992
iff.POMDP_69_73_4,3,2.775347,2.807322,2.8046,2.796807,2.797414
iff.POMDP_69_73_4,4,91.467243,89.905818,89.434406,93.833352,99.221837
iff.POMDP_69_73_4,5,2515.794554,2736.132794,2731.938693,2719.860707,2727.807176
iff.POMDP_69_73_4,6,timeout,timeout,timeout,timeout,timeout
iff.POMDP_71_73_1,1,0.00275,0.003161,0.001661,0.001648,0.001685
iff.POMDP_71_73_1,2,0.075126,0.074249,0.074129,0.074686,0.074902
iff.POMDP_71_73_1,3,2.688329,2.698094,2.693554,2.681788,2.678782
iff.POMDP_71_73_1,4,74.532002,73.117417,73.217272,72.901761,79.720129
iff.POMDP_71_73_1,5,1860.320177,2019.309837,2013.509333,2010.269759,2004.826337
iff.POMDP_71_73_1,6,timeout,timeout,timeout,timeout,timeout
