benchmark,num_states,num_actions,num_obs,num_initial_states,horizon,time_abhsvi,time_ours
iff_2_3_0_4,24,4,22,3,2,136.696771,0.027011
iff_2_3_0_4,24,4,22,3,3,timeout,0.462361
iff_2_3_0_4,24,4,22,3,4,timeout,47.963635
iff_2_3_0_4,24,4,22,3,5,timeout,timeout
iff_2_3_0_4,24,4,22,3,6,timeout,timeout
iff_2_3_2_0,27,4,22,3,1,timeout,0.002836
iff_2_3_2_0,27,4,22,3,2,138.915399,0.033816
iff_2_3_2_0,27,4,22,3,3,timeout,0.616605
iff_2_3_2_0,27,4,22,3,4,timeout,50.00066
iff_2_3_2_0,27,4,22,3,5,timeout,timeout
iff_2_3_2_0,27,4,22,3,6,timeout,timeout
iff_2_3_2_4,19,4,22,3,1,timeout,0.002635
iff_2_3_2_4,19,4,22,3,2,142.687529,0.026851
iff_2_3_2_4,19,4,22,3,3,error,0.449711
iff_2_3_2_4,19,4,22,3,4,timeout,38.588312
iff_2_3_2_4,19,4,22,3,5,timeout,timeout
iff_2_3_2_4,19,4,22,3,6,timeout,timeout
iff_2_3_4_0,27,4,22,3,1,timeout,0.002888
iff_2_3_4_0,27,4,22,3,2,138.79073,0.029217
iff_2_3_4_0,27,4,22,3,3,timeout,0.484109
iff_2_3_4_0,27,4,22,3,4,timeout,47.380948
iff_2_3_4_0,27,4,22,3,5,timeout,timeout
iff_2_3_4_0,27,4,22,3,6,timeout,timeout
iff_2_3_4_2,21,4,22,3,1,timeout,0.003189
iff_2_3_4_2,21,4,22,3,2,139.109953,0.026439
iff_2_3_4_2,21,4,22,3,3,timeout,0.466876
iff_2_3_4_2,21,4,22,3,4,timeout,63.627067
iff_2_3_4_2,21,4,22,3,5,timeout,timeout
iff_2_3_4_2,21,4,22,3,6,timeout,timeout
